"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"01128","2022","COM","2020","301","1","302","2023-01-02"
"01129","2022","COM","2020","303","5","308","2023-01-02"
"01130","2022","COM","2020","2368","38","2406","2023-01-02"
"01133","2022","COM","2020","395","5","400","2023-01-02"
"01134","2022","COM","2020","1792","44","1836","2023-01-02"
"01135","2022","COM","2020","2205","64","2269","2023-01-02"
"01136","2022","COM","2020","922","21","943","2023-01-02"
"01138","2022","COM","2020","2987","61","3048","2023-01-02"
"01139","2022","COM","2020","444","5","449","2023-01-02"
"01140","2022","COM","2020","764","19","783","2023-01-02"
"01141","2022","COM","2020","443","6","449","2023-01-02"
"01142","2022","COM","2020","4765","54","4819","2023-01-02"
"01143","2022","COM","2020","9999","240","10239","2023-01-02"
"01145","2022","COM","2020","1190","24","1214","2023-01-02"
"01146","2022","COM","2020","436","3","439","2023-01-02"
"01147","2022","COM","2020","509","3","512","2023-01-02"
"01148","2022","COM","2020","1892","47","1939","2023-01-02"
"01149","2022","COM","2020","1094","29","1123","2023-01-02"
"01150","2022","COM","2020","214","5","219","2023-01-02"
"01151","2022","COM","2020","1139","29","1168","2023-01-02"
"01152","2022","COM","2020","756","25","781","2023-01-02"
"01153","2022","COM","2020","2123","75","2198","2023-01-02"
"01155","2022","COM","2020","142","5","147","2023-01-02"
"01156","2022","COM","2020","843","12","855","2023-01-02"
"01157","2022","COM","2020","2339","53","2392","2023-01-02"
"01158","2022","COM","2020","1053","19","1072","2023-01-02"
"01159","2022","COM","2020","3366","72","3438","2023-01-02"
"01160","2022","COM","2020","10612","172","10784","2023-01-02"
"01162","2022","COM","2020","65","3","68","2023-01-02"
"01163","2022","COM","2020","2016","34","2050","2023-01-02"
"01165","2022","COM","2020","1586","33","1619","2023-01-02"
"01166","2022","COM","2020","2417","36","2453","2023-01-02"
"01167","2022","COM","2020","657","24","681","2023-01-02"
"01169","2022","COM","2020","651","23","674","2023-01-02"
"01170","2022","COM","2020","1044","27","1071","2023-01-02"
"01171","2022","COM","2020","830","41","871","2023-01-02"
"01173","2022","COM","2020","13177","290","13467","2023-01-02"
"01174","2022","COM","2020","176","2","178","2023-01-02"
"01175","2022","COM","2020","790","23","813","2023-01-02"
"01177","2022","COM","2020","184","5","189","2023-01-02"
"01179","2022","COM","2020","1884","52","1936","2023-01-02"
"01180","2022","COM","2020","842","20","862","2023-01-02"
"01181","2022","COM","2020","1241","50","1291","2023-01-02"
"01183","2022","COM","2020","1487","29","1516","2023-01-02"
"01184","2022","COM","2020","756","28","784","2023-01-02"
"01185","2022","COM","2020","4824","157","4981","2023-01-02"
"01187","2022","COM","2020","615","19","634","2023-01-02"
"01188","2022","COM","2020","681","21","702","2023-01-02"
"01189","2022","COM","2020","1123","27","1150","2023-01-02"
"01190","2022","COM","2020","86","1","87","2023-01-02"
"01191","2022","COM","2020","152","4","156","2023-01-02"
"01192","2022","COM","2020","2272","55","2327","2023-01-02"
"01193","2022","COM","2020","220","6","226","2023-01-02"
"01194","2022","COM","2020","6337","93","6430","2023-01-02"
"01195","2022","COM","2020","1822","39","1861","2023-01-02"
"01196","2022","COM","2020","1241","20","1261","2023-01-02"
"01197","2022","COM","2020","377","14","391","2023-01-02"
"01198","2022","COM","2020","266","3","269","2023-01-02"
"01199","2022","COM","2020","2129","44","2173","2023-01-02"
"01200","2022","COM","2020","213","5","218","2023-01-02"
"01202","2022","COM","2020","7214","126","7340","2023-01-02"
