﻿code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl
01001;L'Abergement-Clémenciat;01;636;323;1851;1009;9
01002;L'Abergement-de-Varey;01;369;335;1501;890;9
01004;Ambérieu-en-Bugey;01;486;325;1231;798;9
01005;Ambérieux-en-Dombes;01;658;329;1770;981;9
01006;Ambléon;01;430;344;1689;954;9
01007;Ambronay;01;435;326;1520;896;9
01008;Ambutrix;01;450;323;1261;808;9
01009;Andert-et-Condon;01;433;332;1657;943;46
01010;Anglefort;01;476;326;1483;884;9
01011;Apremont;01;392;451;1919;1032;9
01012;Aranc;01;422;420;1595;922;9
01013;Arandas;01;411;332;1001;720;9
01014;Arbent;01;424;372;1950;1042;9
01015;Arboys en Bugey;01;459;325;1493;887;46
01016;Arbigny;01;593;316;1633;935;9
01017;Argis;01;388;331;1277;814;9
01019;Armix;01;431;406;1557;909;9
01021;Ars-sur-Formans;01;670;322;1964;1047;9
01022;Artemare;01;481;323;1725;966;9
01023;Asnières-sur-Saône;01;608;313;1862;1012;9
01024;Attignat;01;534;319;1595;922;9
01025;Bâgé-Dommartin;01;615;317;1677;950;9
01026;Bâgé-le-Châtel;01;612;317;1715;963;9
01027;Balan;01;456;315;1592;921;9
01028;Baneins;01;645;321;1840;1005;9
01029;Beaupont;01;502;317;1491;886;9
01030;Beauregard;01;675;313;2269;1151;9
01031;Bellignat;01;379;365;1987;1055;9
01032;Béligneux;01;463;316;1601;924;9
01033;Valserhône;01;514;336;1491;886;9
01034;Belley;01;454;326;1367;844;46
01035;Belleydoux;01;418;441;3117;1439;9
01036;Valromey-sur-Séran;01;455;367;1661;944;9
01037;Bénonces;01;416;362;1471;880;9
01038;Bény;01;504;322;1866;1014;9
01039;Béon;01;485;324;1688;954;9
01040;Béréziat;01;576;317;1646;939;9
01041;Bettant;01;426;322;1190;784;9
01042;Bey;01;612;317;1880;1019;9
01043;Beynost;01;469;315;1590;920;9
01044;Billiat;01;472;370;1600;923;9
01045;Birieux;01;591;327;1428;865;9
01046;Biziat;01;615;318;1917;1031;9
01047;Blyes;01;431;319;1694;955;9
01049;La Boisse;01;481;315;1369;845;9
01050;Boissey;01;588;316;1660;944;9
01051;Bolozon;01;403;332;1816;997;9
01052;Bouligneux;01;649;327;1483;884;9
01053;Bourg-en-Bresse;01;459;319;1475;881;9
01054;Bourg-Saint-Christophe;01;467;322;1562;911;9
01056;Boyeux-Saint-Jérôme;01;380;367;1674;949;9
01057;Boz;01;598;314;1659;943;9
01058;Brégnier-Cordon;01;488;319;1990;1056;9
01060;Brénod;01;429;434;1614;928;9
01061;Brens;01;458;321;1793;989;46
01062;Bressolles;01;475;316;1468;879;9
01063;Brion;01;424;356;1769;981;9
01064;Briord;01;454;317;1528;899;9
01065;Buellas;01;545;320;1508;892;9
01066;La Burbanche;01;423;336;1538;902;9
01067;Ceignes;01;379;387;1550;906;9
01068;Cerdon;01;381;331;1502;890;9
01069;Certines;01;486;322;1517;895;9
01071;Cessy;01;462;367;1764;979;9
01072;Ceyzériat;01;443;330;1705;959;9
01073;Ceyzérieu;01;484;322;1728;967;9
01074;Chalamont;01;520;328;1090;750;9
01075;Chaleins;01;693;315;2064;1081;9
01076;Chaley;01;428;349;1454;874;9
01077;Challes-la-Montagne;01;374;359;1558;909;9
01078;Challex;01;493;363;1641;938;9
01079;Champagne-en-Valromey;01;480;367;1628;933;9
01080;Champdor-Corcelles;01;436;317;1589;920;9
01081;Champfromier;01;453;395;1993;1057;9
01082;Chanay;01;468;332;1542;904;9
01083;Chaneins;01;674;323;2016;1065;9
01084;Chanoz-Châtenay;01;595;321;1737;970;9
01085;La Chapelle-du-Châtelard;01;619;324;1793;989;9
01087;Charix;01;413;421;1824;999;9
01088;Charnoz-sur-Ain;01;426;321;1659;944;9
01089;Château-Gaillard;01;459;320;1345;837;9
01090;Châtenay;01;488;330;1373;846;9
01092;Châtillon-la-Palud;01;452;320;1383;850;9
01093;Châtillon-sur-Chalaronne;01;644;319;1707;960;9
01094;Chavannes-sur-Reyssouze;01;565;314;1629;933;9
01095;Nivigne et Suran;01;414;335;2239;1140;9
01096;Chaveyriat;01;586;323;1657;943;9
01098;Chazey-Bons;01;437;320;1871;1015;46
01099;Chazey-sur-Ain;01;437;321;1610;927;9
01100;Cheignieu-la-Balme;01;462;335;1627;933;9
01101;Chevillard;01;390;425;1590;920;9
01102;Chevroux;01;600;317;1685;952;9
01103;Chevry;01;463;361;1842;1006;9
01104;Chézery-Forens;01;464;376;2499;1229;9
01105;Civrieux;01;656;328;1825;1000;9
01106;Cize;01;398;333;1967;1048;9
01107;Cleyzieu;01;398;381;1296;820;9
01108;Coligny;01;480;319;2125;1102;9
01109;Collonges;01;507;359;1523;897;9
01110;Colomieu;01;432;332;1613;928;46
01111;Conand;01;413;347;1165;776;9
01112;Condamine;01;407;377;1539;903;9
01113;Condeissiat;01;561;322;1681;951;9
01114;Confort;01;485;371;1681;951;9
01115;Confrançon;01;586;316;1627;933;9
01116;Contrevoz;01;463;339;1615;929;9
01117;Conzieu;01;433;340;1715;963;9
01118;Corbonod;01;497;344;1489;886;9
01121;Corlier;01;392;420;1576;915;9
01123;Cormoranche-sur-Saône;01;638;313;1675;949;9
01124;Cormoz;01;526;318;1808;994;9
01125;Corveissiat;01;405;328;2198;1127;9
01127;Courmangoux;01;463;328;2061;1080;9
01128;Courtes;01;536;318;1866;1014;9
01129;Crans;01;471;327;1408;858;9
01130;Bresse Vallons;01;533;316;1697;956;9
01133;Cressin-Rochefort;01;492;322;1316;827;9
01134;Crottet;01;629;316;1816;997;9
01135;Crozet;01;463;367;1905;1027;9
01136;Cruzilles-lès-Mépillat;01;622;317;1858;1011;9
01138;Culoz;01;496;322;1686;953;9
01139;Curciat-Dongalon;01;543;318;2001;1060;9
01140;Curtafond;01;570;318;1582;918;9
01141;Cuzieu;01;438;330;1831;1002;9
01142;Dagneux;01;479;315;1345;837;9
01143;Divonne-les-Bains;01;445;359;1615;929;9
01145;Dompierre-sur-Veyle;01;492;327;1269;811;9
01146;Dompierre-sur-Chalaronne;01;636;321;1862;1013;9
01147;Domsure;01;488;319;1737;970;9
01148;Dortan;01;405;333;2712;1301;46
01149;Douvres;01;417;326;1457;875;9
01150;Drom;01;411;332;1849;1008;9
01151;Druillat;01;450;325;1484;884;9
01152;Échallon;01;425;416;2077;1085;9
01153;Échenevex;01;463;355;1897;1025;9
01155;Évosges;01;402;414;1431;866;9
01156;Faramans;01;491;328;1484;884;9
01157;Fareins;01;700;316;2196;1126;9
01158;Farges;01;496;362;1639;937;9
01159;Feillens;01;620;314;1801;992;9
01160;Ferney-Voltaire;01;533;348;1514;894;9
01162;Flaxieu;01;484;327;1706;960;9
01163;Foissiat;01;540;318;1706;960;9
01165;Francheleins;01;738;319;2167;1116;9
01166;Frans;01;674;318;2160;1114;9
01167;Garnerans;01;640;317;1923;1033;9
01169;Genouilleux;01;680;317;2475;1221;9
01170;Béard-Géovreissiat;01;420;369;1832;1002;9
01171;Géovreisset;01;370;394;2004;1061;9
01173;Gex;01;500;383;2137;1106;9
01174;Giron;01;429;481;2281;1155;9
01175;Gorrevod;01;590;314;1442;870;9
01177;Grand-Corent;01;400;367;1920;1032;9
01179;Grièges;01;639;314;1847;1008;9
01180;Grilly;01;456;363;1566;912;9
01181;Groissiat;01;381;366;1963;1047;9
01183;Guéreins;01;709;314;2488;1225;9
01184;Hautecourt-Romanèche;01;384;337;1345;837;9
01185;Plateau d’Hauteville;01;503;332;1660;944;9
01187;Haut Valromey;01;467;434;1601;924;9
01188;Illiat;01;626;318;1906;1027;9
01189;Injoux-Génissiat;01;492;340;1632;934;9
01190;Innimond;01;459;447;1681;951;9
01191;Izenave;01;429;399;1538;902;9
01192;Izernore;01;419;354;1967;1048;9
01193;Izieu;01;448;340;2039;1073;46
01194;Jassans-Riottier;01;652;314;2188;1123;9
01195;Jasseron;01;447;328;1758;977;9
01196;Jayat;01;552;317;1677;950;9
01197;Journans;01;448;326;1495;888;9
01198;Joyeux;01;537;327;1429;865;9
01199;Jujurieux;01;372;329;1493;887;9
01200;Labalme;01;379;375;1498;889;9
01202;Lagnieu;01;453;318;1129;763;9
01203;Laiz;01;625;318;1851;1009;9
01204;Le Poizat-Lalleyriat;01;425;431;1617;929;9
01206;Lantenay;01;422;410;1502;890;9
01207;Lapeyrouse;01;642;327;1630;934;9
01208;Lavours;01;494;321;1811;995;9
01209;Léaz;01;505;360;1593;921;9
01210;Lélex;01;422;450;2130;1103;9
01211;Lent;01;497;327;1626;932;9
01212;Lescheroux;01;542;318;1502;890;9
01213;Leyment;01;451;322;1398;855;9
01214;Leyssard;01;385;375;1640;937;9
01215;Surjoux-Lhopital;01;480;359;1567;912;9
01216;Lhuis;01;462;343;1979;1052;9
01219;Lompnas;01;424;434;1818;997;9
01224;Loyettes;01;441;315;1844;1006;9
01225;Lurcy;01;716;315;2274;1152;9
01227;Magnieu;01;439;320;1554;908;46
01228;Maillat;01;409;363;1576;915;9
01229;Malafretaz;01;543;318;1703;959;9
01230;Mantenay-Montlin;01;547;318;1719;964;9
01231;Manziat;01;625;316;1763;979;9
01232;Marboz;01;519;320;1839;1005;9
01233;Marchamp;01;428;374;1741;972;9
01234;Marignieu;01;446;339;1669;947;46
01235;Marlieux;01;640;325;1900;1025;9
01236;Marsonnas;01;576;317;1641;938;9
01237;Martignat;01;387;363;1900;1025;9
01238;Massieux;01;674;320;1806;994;9
01239;Massignieu-de-Rives;01;479;329;1684;952;46
01240;Matafelon-Granges;01;417;353;2115;1099;9
01241;Meillonnas;01;443;321;1771;982;9
01242;Mérignat;01;361;350;1485;884;9
01243;Messimy-sur-Saône;01;720;315;2294;1159;9
01244;Meximieux;01;428;319;1555;908;9
01245;Bohas-Meyriat-Rignat;01;403;328;1531;900;9
01246;Mézériat;01;588;316;1625;932;9
01247;Mijoux;01;413;477;2100;1093;9
01248;Mionnay;01;629;327;1774;983;9
01249;Miribel;01;569;314;1599;923;9
01250;Misérieux;01;671;320;1998;1059;9
01252;Mogneneins;01;651;317;2286;1157;9
01254;Montagnat;01;542;324;1486;885;9
01255;Montagnieu;01;442;332;1522;897;9
01257;Montanges;01;470;394;1773;982;9
01258;Montceaux;01;724;313;2293;1159;9
01259;Montcet;01;563;319;1524;898;9
01260;Le Montellier;01;548;328;1231;798;9
01261;Monthieux;01;643;328;1666;946;9
01262;Montluel;01;584;317;1183;782;9
01263;Montmerle-sur-Saône;01;761;313;2470;1219;9
01264;Montracol;01;549;321;1529;899;9
01265;Montréal-la-Cluse;01;456;358;1781;985;9
01266;Montrevel-en-Bresse;01;551;318;1751;975;9
01267;Nurieux-Volognat;01;415;360;1809;995;9
01268;Murs-et-Gélignieux;01;478;319;2161;1114;46
01269;Nantua;01;394;358;1715;962;9
01272;Neuville-les-Dames;01;619;321;1756;976;9
01273;Neuville-sur-Ain;01;399;328;1520;896;9
01274;Les Neyrolles;01;398;368;1714;962;9
01275;Neyron;01;473;314;1555;908;9
01276;Niévroz;01;451;314;1443;870;9
01277;Nivollet-Montgriffon;01;379;380;1579;916;9
01279;Oncieu;01;379;353;1367;844;9
01280;Ordonnaz;01;425;334;1580;917;9
01281;Ornex;01;479;357;1561;910;9
01282;Outriaz;01;424;404;1475;881;9
01283;Oyonnax;01;401;368;1866;1014;9
01284;Ozan;01;603;315;1745;973;9
01285;Parcieux;01;670;315;1889;1022;9
01286;Parves et Nattages;01;440;360;1807;994;46
01288;Péron;01;490;366;1643;938;9
01289;Péronnas;01;490;321;1339;835;9
01290;Pérouges;01;445;326;1542;904;9
01291;Perrex;01;605;317;1833;1003;9
01293;Peyriat;01;383;372;1664;945;9
01294;Peyrieu;01;468;321;1975;1051;46
01295;Peyzieux-sur-Saône;01;663;319;2216;1133;9
01296;Pirajoux;01;503;319;1929;1035;9
01297;Pizay;01;495;327;1424;864;9
01298;Plagne;01;416;420;1887;1021;9
01299;Le Plantay;01;599;326;1567;912;9
01301;Polliat;01;567;319;1335;833;9
01302;Pollieu;01;482;325;1648;940;9
01303;Poncin;01;368;324;1512;894;9
01304;Pont-d'Ain;01;395;322;1511;893;9
01305;Pont-de-Vaux;01;569;313;1267;810;9
01306;Pont-de-Veyle;01;619;314;1835;1003;9
01307;Port;01;413;357;1739;971;9
01308;Pougny;01;509;345;1595;922;9
01309;Pouillat;01;409;338;2255;1146;9
01310;Prémeyzel;01;443;335;1923;1033;46
01311;Prémillieu;01;426;449;1497;888;9
01313;Prévessin-Moëns;01;503;353;1671;948;9
01314;Priay;01;445;320;1151;771;9
01317;Ramasse;01;410;335;1738;970;9
01318;Rancé;01;657;328;1844;1006;9
01319;Relevant;01;638;325;1772;982;9
01320;Replonges;01;662;315;1704;959;9
01321;Revonnas;01;450;333;1582;917;9
01322;Reyrieux;01;678;315;1993;1057;9
01323;Reyssouze;01;592;319;1416;861;9
01325;Rignieux-le-Franc;01;497;319;1528;899;9
01328;Romans;01;620;324;1712;962;9
01329;Rossillon;01;432;334;1591;920;9
01330;Ruffieu;01;480;405;1611;927;9
01331;Saint-Alban;01;372;366;1516;895;9
01332;Saint-André-de-Bâgé;01;621;317;1734;969;9
01333;Saint-André-de-Corcy;01;670;328;1572;914;9
01334;Saint-André-d'Huiriat;01;607;314;1887;1021;9
01335;Saint-André-le-Bouchoux;01;580;325;1690;954;9
01336;Saint-André-sur-Vieux-Jonc;01;519;322;1589;920;9
01337;Saint-Bénigne;01;586;317;1539;903;9
01338;Groslée-Saint-Benoit;01;462;317;1898;1025;9
01339;Saint-Bernard;01;651;314;2571;1253;9
01342;Sainte-Croix;01;521;325;1359;842;9
01343;Saint-Cyr-sur-Menthon;01;614;317;1746;973;9
01344;Saint-Denis-lès-Bourg;01;517;320;1367;845;9
01345;Saint-Denis-en-Bugey;01;454;321;1310;825;9
01346;Saint-Didier-d'Aussiat;01;579;317;1689;954;9
01347;Saint-Didier-de-Formans;01;692;317;2235;1139;9
01348;Saint-Didier-sur-Chalaronne;01;648;313;1911;1029;9
01349;Saint-Éloi;01;491;328;1466;878;9
01350;Saint-Étienne-du-Bois;01;481;322;1785;986;9
01351;Saint-Étienne-sur-Chalaronne;01;643;315;1966;1048;9
01352;Saint-Étienne-sur-Reyssouze;01;575;316;1631;934;9
01353;Sainte-Euphémie;01;660;317;2086;1089;9
01354;Saint-Genis-Pouilly;01;466;351;2002;1060;9
01355;Saint-Genis-sur-Menthon;01;593;317;1759;978;9
01356;Saint-Georges-sur-Renon;01;611;324;1739;971;9
01357;Saint-Germain-de-Joux;01;437;362;1786;987;9
01358;Saint-Germain-les-Paroisses;01;430;343;1588;920;46
01359;Saint-Germain-sur-Renon;01;625;324;1795;990;9
01360;Saint-Jean-de-Gonville;01;473;363;1796;990;9
01361;Saint-Jean-de-Niost;01;431;317;1853;1009;9
01362;Saint-Jean-de-Thurigneux;01;649;327;1791;988;9
01363;Saint-Jean-le-Vieux;01;388;331;1509;893;9
01364;Saint-Jean-sur-Reyssouze;01;563;318;1638;936;9
01365;Saint-Jean-sur-Veyle;01;628;316;1829;1001;9
01366;Sainte-Julie;01;438;319;1523;897;9
01367;Saint-Julien-sur-Reyssouze;01;550;315;1642;938;9
01368;Saint-Julien-sur-Veyle;01;613;317;1936;1038;9
01369;Saint-Just;01;452;334;1695;956;9
01370;Saint-Laurent-sur-Saône;01;581;313;1861;1012;9
01371;Saint-Marcel;01;626;327;1553;907;9
01372;Saint-Martin-de-Bavel;01;444;334;1738;971;9
01373;Saint-Martin-du-Frêne;01;405;365;1581;917;9
01374;Saint-Martin-du-Mont;01;448;325;1516;895;9
01375;Saint-Martin-le-Châtel;01;559;318;1594;921;9
01376;Saint-Maurice-de-Beynost;01;478;315;1804;993;9
01378;Saint-Maurice-de-Gourdans;01;437;316;2090;1090;9
01379;Saint-Maurice-de-Rémens;01;448;319;1392;853;9
01380;Saint-Nizier-le-Bouchoux;01;536;318;2034;1071;9
01381;Saint-Nizier-le-Désert;01;556;328;1508;892;9
01382;Sainte-Olive;01;650;328;1713;962;9
01383;Saint-Paul-de-Varax;01;556;325;1665;946;9
01384;Saint-Rambert-en-Bugey;01;386;327;1219;794;9
01385;Saint-Rémy;01;510;322;1425;864;9
01386;Saint-Sorlin-en-Bugey;01;435;316;1372;846;9
01387;Saint-Sulpice;01;575;318;1689;954;9
01388;Saint-Trivier-de-Courtes;01;548;318;1801;992;9
01389;Saint-Trivier-sur-Moignans;01;654;323;1794;989;9
01390;Saint-Vulbas;01;434;317;1624;932;9
01391;Salavre;01;466;328;2122;1101;9
01392;Samognat;01;408;366;2086;1089;9
01393;Sandrans;01;633;327;1977;1052;9
01396;Sault-Brénaz;01;405;316;1484;884;9
01397;Sauverny;01;461;358;1479;883;9
01398;Savigneux;01;671;324;1888;1021;9
01399;Ségny;01;467;358;1609;926;9
01400;Seillonnaz;01;422;367;1587;919;9
01401;Sergy;01;453;356;1952;1043;9
01402;Sermoyer;01;590;316;1488;886;9
01403;Serrières-de-Briord;01;439;319;1373;846;9
01404;Serrières-sur-Ain;01;379;325;1562;911;9
01405;Servas;01;497;323;1656;943;9
01406;Servignat;01;555;317;1719;964;9
01407;Seyssel;01;490;323;1519;896;9
01408;Simandre-sur-Suran;01;411;332;2414;1200;9
01410;Sonthonnax-la-Montagne;01;404;396;2034;1071;9
01411;Souclin;01;404;376;1412;860;9
01412;Sulignat;01;618;318;1839;1005;9
01415;Talissieu;01;482;322;1686;953;9
01416;Tenay;01;406;332;1133;765;9
01418;Thil;01;450;314;1534;901;9
01419;Thoiry;01;469;358;1902;1026;9
01420;Thoissey;01;634;313;1934;1037;9
01421;Torcieu;01;406;324;1267;811;9
01422;Tossiat;01;466;324;1443;870;9
01423;Toussieux;01;662;320;1957;1045;9
01424;Tramoyes;01;569;328;1673;948;9
01425;La Tranclière;01;468;325;1512;894;9
01426;Val-Revermont;01;452;321;1654;942;9
01427;Trévoux;01;703;315;2318;1167;9
01428;Valeins;01;645;324;1942;1040;9
01429;Vandeins;01;575;318;1574;915;9
01430;Varambon;01;444;321;1458;875;9
01431;Vaux-en-Bugey;01;450;325;1213;792;9
01432;Verjon;01;437;320;2081;1087;9
01433;Vernoux;01;546;317;1978;1052;9
01434;Versailleux;01;561;327;1442;870;9
01435;Versonnex;01;469;359;1339;835;9
01436;Vesancy;01;446;393;1822;999;9
01437;Vescours;01;560;317;1775;983;9
01439;Vésines;01;612;313;1907;1028;9
01441;Vieu-d'Izenave;01;419;390;1340;835;9
01443;Villars-les-Dombes;01;650;326;1690;954;9
01444;Villebois;01;431;322;1446;871;9
01445;Villemotier;01;499;314;2040;1073;9
01446;Villeneuve;01;683;324;1932;1036;9
01447;Villereversure;01;402;329;1687;953;9
01448;Villes;01;474;370;1577;916;9
01449;Villette-sur-Ain;01;457;322;1301;822;9
01450;Villieu-Loyes-Mollon;01;438;319;1638;936;9
01451;Viriat;01;520;319;1487;885;9
01452;Virieu-le-Grand;01;440;326;1736;970;9
01453;Arvière-en-Valromey;01;463;352;1620;930;9
01454;Virignin;01;453;477;1918;1031;46
01456;Vongnes;01;449;330;1734;969;9
01457;Vonnas;01;601;315;1984;1054;9
02001;Abbécourt;02;462;301;1323;830;9
02002;Achery;02;486;302;1509;892;9
02003;Acy;02;358;310;1460;876;9
02004;Agnicourt-et-Séchelles;02;545;306;1637;936;9
02005;Aguilcourt;02;449;302;1508;892;9
02006;Aisonville-et-Bernoville;02;567;311;1599;923;9
02007;Aizelles;02;432;304;1333;833;9
02008;Aizy-Jouy;02;388;303;1393;853;9
02009;Alaincourt;02;519;302;1695;956;9
02010;Allemant;02;394;306;1338;835;9
02011;Ambleny;02;400;301;1077;746;9
02012;Ambrief;02;352;309;1519;896;9
02013;Amifontaine;02;469;303;1224;796;9
02014;Amigny-Rouy;02;473;305;1450;872;9
02015;Ancienville;02;364;308;1335;833;9
02016;Andelain;02;461;304;1383;850;9
02017;Anguilcourt-le-Sart;02;491;301;1574;915;9
02018;Anizy-le-Grand;02;430;305;1339;835;9
02019;Annois;02;472;303;1699;957;9
02020;Any-Martin-Rieux;02;532;318;1392;853;9
02021;Archon;02;523;312;1405;857;9
02022;Arcy-Sainte-Restitue;02;340;309;1850;1009;9
02023;Armentières-sur-Ourcq;02;336;305;1394;854;9
02024;Arrancy;02;429;308;1281;815;9
02025;Artemps;02;480;304;1712;962;9
02027;Assis-sur-Serre;02;502;302;1582;917;9
02028;Athies-sous-Laon;02;448;303;1276;813;9
02029;Attilly;02;519;305;1721;964;9
02030;Aubencheul-aux-Bois;02;602;309;1517;895;9
02031;Aubenton;02;531;313;1494;888;9
02032;Aubigny-aux-Kaisnes;02;487;304;1735;969;9
02033;Aubigny-en-Laonnois;02;431;309;1326;831;9
02034;Audignicourt;02;393;304;1118;760;9
02035;Audigny;02;554;309;1503;891;9
02036;Augy;02;349;303;1281;815;9
02037;Aulnois-sous-Laon;02;453;303;1289;818;9
02038;Les Autels;02;523;321;1511;893;9
02039;Autremencourt;02;502;306;1698;957;9
02040;Autreppes;02;549;309;1583;918;9
02041;Autreville;02;463;303;1309;825;9
02042;Azy-sur-Marne;02;366;302;1150;771;9
02043;Bagneux;02;386;304;1218;794;9
02044;Bancigny;02;524;314;1210;791;9
02046;Barenton-Bugny;02;456;303;1272;812;9
02047;Barenton-Cel;02;464;303;1332;833;9
02048;Barenton-sur-Serre;02;475;303;1526;898;9
02049;Barisis-aux-Bois;02;433;303;1358;841;9
02050;Barzy-en-Thiérache;02;592;312;1315;827;9
02051;Barzy-sur-Marne;02;342;305;1508;892;9
02052;Bassoles-Aulers;02;414;314;1286;817;9
02053;Vallées en Champagne;02;361;305;1408;858;9
02054;Bazoches-sur-Vesles;02;366;302;1429;865;9
02055;Beaumé;02;524;317;1427;865;9
02056;Beaumont-en-Beine;02;465;304;1513;894;9
02057;Beaurevoir;02;613;309;2062;1081;9
02058;Beaurieux;02;398;303;1501;890;9
02059;Beautor;02;474;302;1335;833;9
02060;Beauvois-en-Vermandois;02;513;303;1714;962;9
02061;Becquigny;02;621;310;1586;919;9
02062;Belleau;02;335;307;1348;838;9
02063;Bellenglise;02;559;305;1970;1049;9
02064;Belleu;02;362;303;1633;935;9
02065;Bellicourt;02;572;308;2106;1096;9
02066;Benay;02;485;307;1726;966;9
02067;Bergues-sur-Sambre;02;593;311;1266;810;9
02068;Berlancourt;02;520;310;1884;1020;9
02069;Berlise;02;523;310;1557;909;9
02070;Bernot;02;563;305;1493;887;9
02071;Berny-Rivière;02;374;302;1154;772;9
02072;Berrieux;02;432;306;1359;842;9
02073;Berry-au-Bac;02;442;302;1417;861;9
02074;Bertaucourt-Epourdon;02;439;305;1443;870;9
02075;Berthenicourt;02;521;307;1683;952;9
02076;Bertricourt;02;452;302;1313;826;9
02077;Berzy-le-Sec;02;355;309;1422;863;9
02078;Besmé;02;435;303;1153;772;9
02079;Besmont;02;523;314;1392;853;9
02080;Besny-et-Loizy;02;442;305;1341;835;9
02081;Béthancourt-en-Vaux;02;446;306;1446;871;9
02082;Beugneux;02;339;310;1534;901;9
02083;Beuvardes;02;327;303;1408;858;9
02084;Bézu-le-Guéry;02;345;310;1309;825;9
02085;Bézu-Saint-Germain;02;326;307;1307;824;9
02086;Bichancourt;02;458;302;1281;815;9
02087;Bieuxy;02;384;307;1224;796;9
02088;Bièvres;02;405;307;1276;813;9
02089;Billy-sur-Aisne;02;361;303;1462;876;9
02090;Billy-sur-Ourcq;02;354;311;1402;856;9
02091;Blanzy-lès-Fismes;02;348;310;1315;827;9
02093;Blérancourt;02;428;303;1062;741;9
02094;Blesmes;02;347;305;1126;762;9
02095;Bohain-en-Vermandois;02;611;309;1641;937;9
02096;Bois-lès-Pargny;02;502;303;1789;988;9
02097;Boncourt;02;534;305;1615;929;9
02098;Bonneil;02;339;303;1190;784;9
02099;Bonnesvalyn;02;335;307;1346;837;9
02100;Bony;02;587;306;1893;1023;9
02101;Bosmont-sur-Serre;02;543;306;1803;993;9
02102;Bouconville-Vauclair;02;407;307;1136;766;9
02103;Boué;02;589;314;1136;766;9
02104;Bouffignereux;02;388;303;1280;815;9
02105;Bouresches;02;335;308;1330;832;9
02106;Bourg-et-Comin;02;394;302;1011;724;9
02107;Bourguignon-sous-Coucy;02;433;302;1141;768;9
02108;Bourguignon-sous-Montbavin;02;429;305;1377;848;9
02109;La Bouteille;02;533;314;1408;858;9
02110;Braine;02;383;301;1148;770;9
02111;Brancourt-en-Laonnois;02;414;307;1324;830;9
02112;Brancourt-le-Grand;02;608;309;1664;945;9
02114;Brasles;02;356;303;1076;746;9
02115;Braye-en-Laonnois;02;389;306;1319;828;9
02116;Braye-en-Thiérache;02;521;310;1666;946;9
02117;Bray-Saint-Christophe;02;485;303;1727;967;9
02118;Braye;02;375;303;1363;843;9
02119;Brécy;02;331;308;1382;850;9
02120;Brenelle;02;355;301;1414;860;9
02121;Breny;02;341;308;1384;850;9
02122;Brie;02;440;305;1414;860;9
02123;Brissay-Choigny;02;505;302;1601;924;9
02124;Brissy-Hamégicourt;02;516;302;1683;952;9
02125;Brumetz;02;383;304;1313;826;9
02126;Brunehamel;02;527;321;1362;843;9
02127;Bruyères-sur-Fère;02;334;309;1410;859;9
02128;Bruyères-et-Montbérault;02;418;304;1207;790;9
02129;Bruys;02;330;304;1446;871;9
02130;Bucilly;02;524;313;1324;830;9
02131;Bucy-le-Long;02;382;301;1417;861;9
02132;Bucy-lès-Cerny;02;437;305;1371;846;9
02133;Bucy-lès-Pierrepont;02;516;306;2266;1150;9
02134;Buire;02;528;314;1222;795;9
02135;Buironfosse;02;564;317;1526;898;9
02136;Burelles;02;523;308;1718;963;9
02137;Bussiares;02;342;306;1358;841;9
02138;Buzancy;02;349;309;1463;877;9
02139;Caillouël-Crépigny;02;440;307;1443;870;9
02140;Camelin;02;430;303;1085;749;9
02141;La Capelle;02;556;317;1067;743;9
02142;Castres;02;486;304;1703;958;9
02143;Le Catelet;02;591;305;1851;1009;9
02144;Caulaincourt;02;523;303;1702;958;9
02145;Caumont;02;451;305;1432;867;9
02146;Celles-lès-Condé;02;353;305;1227;797;9
02148;Celles-sur-Aisne;02;376;303;1399;855;9
02149;Cerizy;02;489;307;1731;968;9
02150;Cerny-en-Laonnois;02;389;313;1285;816;9
02151;Cerny-lès-Bucy;02;435;304;1362;843;9
02152;Cerseuil;02;347;304;1330;832;9
02153;Cessières-Suzy;02;432;307;1376;848;9
02154;Chacrise;02;349;303;1573;914;9
02155;Chaillevois;02;417;306;1320;828;9
02156;Chalandry;02;507;303;1553;908;9
02157;Chambry;02;449;303;1306;824;9
02158;Chamouille;02;393;306;1269;811;9
02159;Champs;02;422;302;1128;763;9
02160;Chaourse;02;544;307;1352;839;9
02162;La Chapelle-sur-Chézy;02;349;302;1254;806;9
02163;Charly-sur-Marne;02;364;302;1255;806;9
02164;Le Charmel;02;328;313;1442;870;9
02165;Charmes;02;441;301;1334;833;9
02166;Chartèves;02;368;312;1349;838;9
02167;Chassemy;02;394;303;1383;850;9
02168;Château-Thierry;02;348;303;949;703;9
02169;Châtillon-lès-Sons;02;515;308;2052;1077;9
02170;Châtillon-sur-Oise;02;532;303;1635;935;9
02171;Chaudardes;02;417;302;1279;814;9
02172;Chaudun;02;358;311;1325;830;9
02173;Chauny;02;477;301;1261;808;9
02174;Chavignon;02;436;305;1301;822;9
02175;Chavigny;02;378;301;1375;847;9
02176;Chavonne;02;402;303;1583;918;9
02177;Chérêt;02;408;306;1249;804;9
02178;Chermizy-Ailles;02;402;306;1241;802;9
02179;Chéry-Chartreuve;02;331;309;1556;909;9
02180;Chéry-lès-Pouilly;02;465;302;1296;820;9
