localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
La Réunion>>>>;;;;;;;;;;9741186W;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
Bretagne>Rennes>Morbihan>Lorient>Lorient;Université de Bretagne-Sud;Université;UNITE DE FORMATION ET DE RECHERCHE DE SCIENCES ET SCIENCES DE L'INGENIEUR A LORIENT, UNIVERSITE DE BRETAGNE SUD;47.7477336966,-3.39402534846;Unité de formation et de recherche (hors santé);;1995-01-09;1349;Universités et INP hors écoles d'ingenieurs;0561738K;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;100;;2  RUE LE COAT SAINT HAOUEN;;BP92116;56321;LORIENT CEDEX;;UNIV;539
Bretagne>Rennes>Morbihan>Lorient>Lorient;Université de Bretagne-Sud;Université;ANTENNE DE L'UNIVERSITÉ DE BRETAGNE SUD, À LORIENT;47.7461263739,-3.39067496334;Composante d'université avec formation diplômante;;2009-01-09;;Universités et INP hors écoles d'ingenieurs;0561754C;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;100;;27  RUE ARMAND GUILLEMOT;;BP92116;56321;LORIENT CEDEX;;UNIV;540
Bretagne>Rennes>Morbihan>Vannes>Vannes;Université de Bretagne-Sud;Université;SERVICE DES ACTIVITES PHYSIQUES ET SPORTIVES DE L'UNIVERSITE DE BRETAGNE SUD A VANNES;47.6551055553,-2.7616071339;Service commun d'activités physique et sportive;Activités physique et sportive;1999-01-09;;Services communs des universités;0561800C;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56260;Vannes;UU56501;Vannes;D056;Morbihan;A14;Rennes;R53;Bretagne;100;CAMPUS DE TOHANNIC;;;BP573;56017;VANNES CEDEX;;SERV;529
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Roubaix;École nationale supérieure des arts et industries textiles;Instituts et écoles extérieurs aux universités;ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES DE ROUBAIX;50.6948152902,3.16823225912;Ecole d'ingénieurs;;1881-01-09;338;Ecoles d'ingénieurs;0590338X;0590338X;ENS ARTS INDUST TEXT ROUBAIX;0590338X;ENSAIT;FR0114;Q273582;https://www.wikidata.org/entity/Q273582;grid.434225.6;https://www.grid.ac/institutes/grid.434225.6;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;9 RUE DE L ERMITAGE;;BP30329;59056;ROUBAIX CEDEX 1;;ING;553
Nord-Pas-de-Calais - Picardie>Lille>Nord>Valenciennes>Aulnoy-lez-Valenciennes;Université de Valenciennes et du Hainaut-Cambrésis;Université;SERVICE COMMUN UNIVERSITAIRE D'INFORMATION     D'ORIENTATION ET D INSERTION PROFESSIONNELLE;50.3283198863,3.51377191347;Service commun d'information et d'orientation;Information et orientation;1972-01-01;;Services communs des universités;0596035P;0593279U;UNIVERSITE VALENCIENNES;0593279U;;FR0122;Q1548539;https://www.wikidata.org/entity/Q1548539;grid.12810.3a;https://www.grid.ac/institutes/grid.12810.3a;59032;Aulnoy-lez-Valenciennes;UU59701;Valenciennes;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;;LE MONT HOUY;BP311;59304;VALENCIENNES CEDEX;;SERV;525
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE LILLE A, UNIVERSITE LILLE 1;50.6095221001,3.13711007597;Institut universitaire de technologie;;1971-05-05;2122;Universités et INP hors écoles d'ingenieurs;0592602H;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;CITÉ SCIENTIFIQUE;;BP179;59653;VILLENEUVE D ASCQ CEDEX;;UNIV;542
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;UFR INFORMATIQUE ELECTRONIQUE ELECTROTECHNIQUE     AUTOMATISMES;50.6114867482,3.13942714263;Unité de formation et de recherche (hors santé);;1971-05-05;1795;Universités et INP hors écoles d'ingenieurs;0592968F;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;CITÉ SCIENTIFIQUE;;;59655;VILLENEUVE D ASCQ CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;UNITÉ DE FORMATION ET DE RECHERCHE EN PHYSIQUE DE L'UNIVERSITÉ LILLE1;50.6111642822,3.1404699641000002;Unité de formation et de recherche (hors santé);;1971-05-05;1214;Universités et INP hors écoles d'ingenieurs;0593095U;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;Cité SCIENTIFIQUE;;;59655;VILLENEUVE D ASCQ CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 3 - Charles-de-Gaulle;Université;SERVICE COMMUN UNIVERSITAIRE DES ACTIVITES PHYSIQUES ET SPORTIVES;50.6268902211,3.12630508426;Service commun d'activités physique et sportive;Activités physique et sportive;1972-01-01;;Services communs des universités;0596034N;0593561A;UNIVERSITE LILLE 3;0593561A;;FR0125;Q1141586;https://www.wikidata.org/entity/Q1141586;grid.448803.3;https://www.grid.ac/institutes/grid.448803.3;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;RUE DU BARREAU;DOMAINE PONT DE BOIS;BP60149;59653;VILLENEUVE D ASCQ CEDEX;;SERV;529
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 3 - Charles-de-Gaulle;Université;RELATIONS INTERNATIONALES;50.6268902211,3.12630508426;Service général;Affaires internationales;1998-01-09;;Services communs des universités;0596411Y;0593561A;UNIVERSITE LILLE 3;0593561A;;FR0125;Q1141586;https://www.wikidata.org/entity/Q1141586;grid.448803.3;https://www.grid.ac/institutes/grid.448803.3;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;RUE DU BARREAU;;BP60149;59653;VILLENEUVE D ASCQ CEDEX;;SERV;533
Nord-Pas-de-Calais - Picardie>Lille>Pas-de-Calais>Boulogne-sur-Mer>Boulogne-sur-Mer;Université du Littoral Côte d'Opale;Université;SERVICE COMMUN DE DOCUMENTATION UNIVERSITAIRE UNIVERSITÉ DU LITTORAL;50.7256023442,1.6139556465;Antenne délocalisée de service commun d'université;Documentation;2007-12-19;;Services communs des universités;0624376V;0596013R;BU;0595964M;ULCO;FR0127;Q3551755;https://www.wikidata.org/entity/Q3551755;grid.440918.0;https://www.grid.ac/institutes/grid.440918.0;62160;Boulogne-sur-Mer;UU62503;Boulogne-sur-Mer;D062;Pas-de-Calais;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;PLACE HENRI HEINE;;BP155;62202;BOULOGNE SUR MER CEDEX;;SERV;536
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Pyrénées-Atlantiques>Bayonne>Bayonne;Université de Pau et des Pays de l'Adour;Université;ANTENNE INSTITUT ADMINISTRATION DES ENTREPRISES BAYONNE UNIVERSITE DE PAU ET PAYS DE L ADOUR;43.4816933977,-1.48680520765;Antenne délocalisée d'une composante d'université;;1994-01-09;261;Universités et INP hors écoles d'ingenieurs;0641894L;0641845H;INST ADM ENTREPRISES PAU;0640251A;UPPA;FR0140;Q572968;https://www.wikidata.org/entity/Q572968;grid.5571.6;https://www.grid.ac/institutes/grid.5571.6;64102;Bayonne;UU00751;Bayonne;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;29  COURS DU COMTE DE CABARRUS;;;64100;BAYONNE;;UNIV;530
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Landes>Mont-de-Marsan>Mont-de-Marsan;Université de Pau et des Pays de l'Adour;Université;SERVICE COMMUNE DE FORMATION CONTINUE UNIVERSITE DE PAU;43.8853586136,-0.509641376342;Antenne délocalisée de service commun d'université;Formation continue;2001-01-01;;Services communs des universités;0401012H;0641935F;SC COM FORCO;0640251A;UPPA;FR0140;Q572968;https://www.wikidata.org/entity/Q572968;grid.5571.6;https://www.grid.ac/institutes/grid.5571.6;40192;Mont-de-Marsan;UU40401;Mont-de-Marsan;D040;Landes;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;RUE DU RUISSSEAU;;;40000;MONT DE MARSAN;;SERV;536
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Pyrénées-Orientales>Perpignan>Perpignan;Université de Perpignan - Via Domitia;Université;UNITE DE FORMATION ET DE RECHERCHE DES SCIENCES EXACTES ET EXPERIMENTALES, UNIVERSITE DE PERPIGNAN;42.6840698108,2.89854949982;Unité de formation et de recherche (hors santé);;1971-06-05;1204;Universités et INP hors écoles d'ingenieurs;0660524L;0660437S;UNIVERSITE PERPIGNAN;0660437S;;FR0144;Q304872;https://www.wikidata.org/entity/Q304872;grid.11136.34;https://www.grid.ac/institutes/grid.11136.34;66136;Perpignan;UU66601;Perpignan;D066;Pyrénées-Orientales;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;52  AVENUE PAUL ALDUY;;;66860;PERPIGNAN CEDEX 9;;UNIV;539
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Pyrénées-Orientales>Perpignan>Perpignan;Université de Perpignan - Via Domitia;Université;INSTITUT D'ADMINISTRATION DES ENTREPRISES DE PERPIGNAN, UNIVERSITE DE PERPIGNAN;42.6828538581,2.8981433814099997;Institut d'admininistration des entreprises;;1992-01-09;1156;Universités et INP hors écoles d'ingenieurs;0660802N;0660437S;UNIVERSITE PERPIGNAN;0660437S;;FR0144;Q304872;https://www.wikidata.org/entity/Q304872;grid.11136.34;https://www.grid.ac/institutes/grid.11136.34;66136;Perpignan;UU66601;Perpignan;D066;Pyrénées-Orientales;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;52  AVENUE PAUL ALDUY;;;66860;PERPIGNAN CEDEX 9;;UNIV;544
Alsace - Champagne-Ardenne - Lorraine>Strasbourg>Haut-Rhin>Colmar>Colmar;Université de Haute-Alsace;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE COLMAR, UNIVERSITÉ DE MULHOUSE;48.0775820543,7.3703297963;Institut universitaire de technologie;;1971-06-05;1314;Universités et INP hors écoles d'ingenieurs;0680053N;0681166Y;UNIVERSITE MULHOUSE;0681166Y;UHA;FR0150;Q280183;https://www.wikidata.org/entity/Q280183;grid.9156.b;https://www.grid.ac/institutes/grid.9156.b;68066;Colmar;UU68501;Colmar;D068;Haut-Rhin;A15;Strasbourg;R44;Alsace - Champagne-Ardenne - Lorraine;100;;34  RUE GRILLENBREIT;;BP50568;68008;COLMAR CEDEX;;UNIV;542
Auvergne - Rhône-Alpes>Lyon>Rhône>Lyon>Écully;École centrale de Lyon;Instituts et écoles extérieurs aux universités;ECOLE CENTRALE DE LYON;45.7839548165,4.77027165631;Ecole d'ingénieurs;;1966-07-28;1774;Ecoles d'ingénieurs;0690187D;0690187D;ECOLE CENTRALE LYON;0690187D;EC Lyon;FR0153;Q10177;https://www.wikidata.org/entity/Q10177;grid.15401.31;https://www.grid.ac/institutes/grid.15401.31;69081;Écully;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne - Rhône-Alpes;100;;36  AVENUE GUY DE COLLONGUE;;;69134;ECULLY CEDEX;;ING;553
Auvergne - Rhône-Alpes>Lyon>Rhône>Lyon>Vaulx-en-Velin;École nationale des travaux publics de l'État;École extérieure relevant d'un autre département ministériel;ECOLE NATIONALE DES TRAVAUX PUBLICS DE L'ETAT;45.7796127013,4.92266404468;Ecole d'ingénieurs publique (hors tutelle MESR) ou privée;;1975-06-10;667;Ecoles d'ingénieurs;0692566P;0692566P;EN TRAV PUBL ETAT VX EN VELIN;0692566P;ENTPE;FR0163;Q3578157;https://www.wikidata.org/entity/Q3578157;grid.462176.0;https://www.grid.ac/institutes/grid.462176.0;69256;Vaulx-en-Velin;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne - Rhône-Alpes;100;;3  RUE MAURICE AUDIN;;;69518;VAULX EN VELIN CEDEX;;ING;580
Auvergne - Rhône-Alpes>Grenoble>Savoie>Chambéry>Le Bourget-du-Lac;Université de Savoie;Université;UNITÉ DE FORMATION ET DE RECHERCHE SCIENCES ET MONTAGNE - UNIVERSITÉ DE CHAMBÉRY;45.640326,5.872382;Unité de formation et de recherche (hors santé);;2016-01-09;;Universités et INP hors écoles d'ingenieurs;0731570K;0730858L;UNIVERSITE CHAMBERY;0730858L;;FR0170;Q2496158;https://www.wikidata.org/entity/Q2496158;grid.5388.6;https://www.grid.ac/institutes/grid.5388.6;73051;Le Bourget-du-Lac;UU73601;Chambéry;D073;Savoie;A08;Grenoble;R84;Auvergne - Rhône-Alpes;100;;;Campus scientifique;;73376;LE BOURGET DU LAC CEDEX;;UNIV;539
Auvergne - Rhône-Alpes>Grenoble>Haute-Savoie>Annecy>Annecy-le-Vieux;Université de Savoie;Université;INSTITUT D'ADMINISTRATION DES ENTREPRISES SAVOIE MONT BLANC CHAMBÉRY;45.9187648932,6.15735467945;Institut d'admininistration des entreprises;;1999-12-15;1359;Universités et INP hors écoles d'ingenieurs;0741586X;0730858L;UNIVERSITE CHAMBERY;0730858L;;FR0170;Q2496158;https://www.wikidata.org/entity/Q2496158;grid.5388.6;https://www.grid.ac/institutes/grid.5388.6;74011;Annecy-le-Vieux;UU74601;Annecy;D074;Haute-Savoie;A08;Grenoble;R84;Auvergne - Rhône-Alpes;100;;4  CHEMIN DE BELLEVUE;;BP80439;74944;ANNECY LE VIEUX CEDEX;;UNIV;544
Île-de-France>Paris>Paris>Paris>Paris 16e;Université Paris-Dauphine;Grand établissement;DÉPARTEMENT MASTER SCIENCE DES ORGANISATIONS UNIVERSITÉ PARIS 3;48.8710687402,2.27469249327;Composante d'université avec formation diplômante;;2006-01-10;4969;Universités et INP hors écoles d'ingenieurs;0755235H;0750736T;UNIVERSITE PARIS-DAUPHINE;0750736T;Paris-Dauphine;FR0173;Q1546437;https://www.wikidata.org/entity/Q1546437;grid.11024.36;https://www.grid.ac/institutes/grid.11024.36;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;PLACE DU MARECHAL DE TASSIGNY;;;75775;PARIS CEDEX 16;;UNIV;540
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Paris 1 - Panthéon Sorbonne;Université;BIBLIOTHÈQUE CUJAS;48.8471311819,2.34511969675;Service inter-établissements de documentation;Documentation;1978-11-16;;Services communs des universités;0752707K;0751717J;UNIVERSITE PARIS 1;0751717J;;FR0174;Q999763;https://www.wikidata.org/entity/Q999763;grid.10988.38;https://www.grid.ac/institutes/grid.10988.38;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;2  RUE CUJAS;;;75005;PARIS;;SERV;516
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Panthéon-Assas;Université;UNITÉ DE FORMATION ET DE RECHERCHE - PRESSE UNIVERSITÉ PARIS 2;48.8425945977,2.33190802366;Unité de formation et de recherche (hors santé);;1971-06-05;471;Universités et INP hors écoles d'ingenieurs;0753433Z;0751718K;UNIVERSITE PARIS 2;0751718K;;FR0175;Q662976;https://www.wikidata.org/entity/Q662976;grid.33831.3a;https://www.grid.ac/institutes/grid.33831.3a;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;83  RUE NOTRE DAME DES CHAMPS;;;75006;PARIS;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Panthéon-Assas;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE - UNIVERSITÉ PARIS 2;48.8435720583,2.33349381551;Service commun de documentation;Documentation;1992-01-09;;Services communs des universités;0754523J;0751718K;UNIVERSITE PARIS 2;0751718K;;FR0175;Q662976;https://www.wikidata.org/entity/Q662976;grid.33831.3a;https://www.grid.ac/institutes/grid.33831.3a;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;92  RUE D ASSAS;;;75270;PARIS CEDEX 06;;SERV;526
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Sorbonne Nouvelle - Paris 3;Université;UNITÉ DE FORMATION ET DE RECHERCHE - DIDACTIQUE DU FRANÇAIS LANGUE ÉTRANGÈRE UNIVERSITÉ PARIS 3;48.8494010708,2.3446101223699998;Unité de formation et de recherche (hors santé);;1971-06-06;908;Universités et INP hors écoles d'ingenieurs;0753434A;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;46  RUE SAINT JACQUES;;;75005;PARIS;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Paris-Sorbonne;Université;SERVICE COMMUN DE LA DOCUMENTATION UNIVERSITAIRE - UNIVERSITÉ PARIS 4;48.8524564808,2.34155167439;Service commun de documentation;Documentation;1978-11-16;;Services communs des universités;0752735R;0751720M;UNIVERSITE PARIS 4;0751720M;;FR0177;Q546118;https://www.wikidata.org/entity/Q546118;grid.46900.3b;https://www.grid.ac/institutes/grid.46900.3b;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;28  RUE SERPENTE;;;75006;PARIS;;SERV;526
Île-de-France>Paris>Paris>Paris>Paris 14e;Université Pierre et Marie Curie;Université;INSTITUT D'ASTROPHYSIQUE OBSERVATOIRE DE PARIS;48.8345902374,2.33578570915;Observatoire des sciences de l'univers;;2005-11-30;;Universités et INP hors écoles d'ingenieurs;0755242R;0751722P;UNIVERSITE PARIS 6;0751722P;UPMC;FR0179;Q1144549;https://www.wikidata.org/entity/Q1144549;grid.5805.8;https://www.grid.ac/institutes/grid.5805.8;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;98 BIS BOULEVARD ARAGO;;;75014;PARIS;;UNIV;547
Île-de-France>Paris>Paris>Paris>Paris 10e;Université Paris Diderot;Université;UNITÉ DE FORMATION ET DE RECHERCHE -  ETUDES PSYCHANALYTIQUES - UNIVERSITÉ PARIS DIDEROT;48.8750885802,2.35260781727;Unité de formation et de recherche (hors santé);;1971-06-05;1562;Universités et INP hors écoles d'ingenieurs;0751937Y;0751723R;UNIVERSITE PARIS DIDEROT;0751723R;;FR0180;Q1235608;https://www.wikidata.org/entity/Q1235608;grid.7452.4;https://www.grid.ac/institutes/grid.7452.4;75110;Paris 10e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;26  RUE DE PARADIS;;;75010;PARIS;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris 13e;Université Paris Diderot;Université;UNITÉ DE FORMATION ET DE RECHERCHE - PHYSIQUE - UNIVERSITÉ PARIS DIDEROT;48.8284657889,2.38232275436;Unité de formation et de recherche (hors santé);;1971-06-05;540;Universités et INP hors écoles d'ingenieurs;0751948K;0751723R;UNIVERSITE PARIS DIDEROT;0751723R;;FR0180;Q1235608;https://www.wikidata.org/entity/Q1235608;grid.7452.4;https://www.grid.ac/institutes/grid.7452.4;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;4  RUE ELSA MORANTE;;;75205;PARIS CEDEX 13;;UNIV;539
Centre-Val de Loire>Orléans-Tours>Cher>Vierzon>Vierzon;Conservatoire national des arts et métiers;Grand établissement;CENTRE REGIONAL ASSOCIE AU CNAM;47.228038475,2.06129921411;Centre régional associé au CNAM;;1967-02-22;;Universités et INP hors écoles d'ingenieurs;0180051H;0180050G;CENTRE REG ASS CNAM;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;18279;Vierzon;UU18401;Vierzon;D018;Cher;A18;Orléans-Tours;R24;Centre-Val de Loire;100;;25 AVENUE HENRI BRISSON;;;18100;VIERZON;;UNIV;506
Centre-Val de Loire>Orléans-Tours>Loir-et-Cher>Blois>Blois;Conservatoire national des arts et métiers;Grand établissement;CENTRE REGIONAL ASSOCIE AU CNAM;47.584998053,1.32643438259;Centre régional associé au CNAM;;1967-02-23;;Universités et INP hors écoles d'ingenieurs;0410668D;0450104U;CTRE REG.ASS.CNAM;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;41018;Blois;UU41501;Blois;D041;Loir-et-Cher;A18;Orléans-Tours;R24;Centre-Val de Loire;100;;RUE ANNE DE BRETAGNE;;;41000;BLOIS;;UNIV;506
Alsace - Champagne-Ardenne - Lorraine>Reims>Ardennes>Charleville-Mézières>Charleville-Mézières;Conservatoire national des arts et métiers;Grand établissement;CENTRE RÉGIONAL ASSOCIÉ AU CONSERVATOIRE NATIONAL DES ARTS ET MÉTIERS DE CHAMPAGNE-ARDENNE;49.7382233993,4.72122020682;Centre régional associé au CNAM;;1967-02-23;;Universités et INP hors écoles d'ingenieurs;0080070H;0511956Z;CNAM DE CHAMPAGNE ARDENNE;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;08105;Charleville-Mézières;UU08501;Charleville-Mézières;D008;Ardennes;A19;Reims;R44;Alsace - Champagne-Ardenne - Lorraine;100;;7  BOULEVARD JEAN DELAUTRE;;;08000;CHARLEVILLE MEZIERES;;UNIV;506
Auvergne - Rhône-Alpes>Grenoble>Isère>Grenoble>Saint-Martin-d'Hères;Conservatoire national des arts et métiers;Grand établissement;CENTRE D'ENSEIGNEMENT ET DE FORMATION DES MAÎTRES;45.1951437436,5.76496578629;Centre régional associé au CNAM;;1986-09-22;;Universités et INP hors écoles d'ingenieurs;0382859B;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;38421;Saint-Martin-d'Hères;UU38701;Grenoble;D038;Isère;A08;Grenoble;R84;Auvergne - Rhône-Alpes;100;;701 rue DE LA PISCINE;;BP68;38400;ST MARTIN D HERES;;UNIV;506
Auvergne - Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand>Clermont-Ferrand;Université Clermont Auvergne;Université;MAISON DES SCIENCES DE L'HOMME DE L'UNIVERSITE CLERMONT 2;45.7699746029,3.08860159578;Service général;Service général;2009-01-09;;Services communs des universités;0631996C;0631525R;UNIVERSITE CLERMONT FERRAND 2;0632035V;UCA;;Q28057967;https://www.wikidata.org/entity/Q28057967;;;63113;Clermont-Ferrand;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;;4  RUE LEDRU;;;63000;CLERMONT FERRAND;;SERV;533
Aquitaine - Limousin - Poitou-Charentes>Bordeaux>Pyrénées-Atlantiques>Bayonne>Anglet;Conservatoire national des arts et métiers;Grand établissement;CTRE REGIONAL ASSOCIE AU CNAM;43.474153946,-1.51174254598;Centre régional associé au CNAM;;2000-01-01;;Universités et INP hors écoles d'ingenieurs;0641937H;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;64024;Anglet;UU00751;Bayonne;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Aquitaine - Limousin - Poitou-Charentes;100;;1 ALLÉE DE CANTAU;;;64600;ANGLET;;UNIV;506
Île-de-France>Versailles>Essonne>Paris>Gif-sur-Yvette;Conservatoire national des arts et métiers;Grand établissement;CENTRE D'ETUDES  NUCLÉAIRES;48.7014860629,2.13368652783;Centre régional associé au CNAM;;1967-02-24;;Universités et INP hors écoles d'ingenieurs;0910723S;0753471R;CNAM PARIS;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;91272;Gif-sur-Yvette;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;100;BATIMENT 395;CENTRE DE SACLAY;;;91190;GIF SUR YVETTE;;UNIV;506
Languedoc-Roussillon - Midi-Pyrénées>Montpellier>Pyrénées-Orientales>Tautavel>Tautavel;Muséum national d'histoire naturelle;Grand établissement;MUSEUM NATIONAL D'HISTOIRE NATURELLE - CENTRE EUROPEEN DE RECHERCHES PREHISTORIQUES;42.8151218001,2.7502456209;Partie délocalisée d'un établissement de l'enseignement supérieur;;2009-01-09;;Universités et INP hors écoles d'ingenieurs;0660914K;0753494R;MUSEUM NAT HISTOIRE NAT PARIS;0753494R;MNHN;FR0200;Q838691;https://www.wikidata.org/entity/Q838691;grid.410350.3;https://www.grid.ac/institutes/grid.410350.3;66205;Tautavel;CR66205;Tautavel;D066;Pyrénées-Orientales;A11;Montpellier;R76;Languedoc-Roussillon - Midi-Pyrénées;100;LABORATOIRE DE PREHISTOIRE;AVENUE LEON JEAN GREGORY;;;66720;TAUTAVEL;;UNIV;507
