localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Sorbonne Nouvelle - Paris 3;Université;UNITÉ DE FORMATION ET DE RECHERCHE - LITTÉRATURE GÉNÉRALE ET COMPARÉE UNIVERSITÉ PARIS 3;48.8488956298,2.3431338279;Unité de formation et de recherche (hors santé);;1971-06-06;200;Universités et INP hors écoles d'ingenieurs;0751981W;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;17  RUE DE LA SORBONNE;;;75230;PARIS CEDEX 05;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Sorbonne Nouvelle - Paris 3;Université;SERVICE COMMUN UNIVERSITAIRE D'ACCUEIL, D'ORIENTATION ET D'INSERTION PROFESSIONNELLE DE L'UNIVERSITÉ PARIS 3;48.8401483014,2.354175419;Service commun d'information et d'orientation;Information et orientation;1992-01-09;;Services communs des universités;0754640L;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;13  RUE SANTEUIL;;;75231;PARIS CEDEX 05;;SERV;525
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Sorbonne Nouvelle - Paris 3;Université;DÉPARTEMENT DES ÉTUDES GERMANIQUE - UNIVERSITÉ PARIS 3;48.8401483014,2.354175419;Unité de formation et de recherche (hors santé);;2013-01-09;264;Universités et INP hors écoles d'ingenieurs;0755752V;0751719L;UNIVERSITE PARIS 3;0751719L;;FR0176;Q571293;https://www.wikidata.org/entity/Q571293;grid.17689.31;https://www.grid.ac/institutes/grid.17689.31;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;13  RUE SANTUEIL;;;75231;PARIS CEDEX 05;;UNIV;539
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Paris-Sorbonne;Université;UNIVERSITÉ PARIS 4;48.8483065485,2.34280602515;Université;;1970-09-06;;Universités et INP hors écoles d'ingenieurs;0751720M;0751720M;UNIVERSITE PARIS 4;0751720M;;FR0177;Q546118;https://www.wikidata.org/entity/Q546118;grid.46900.3b;https://www.grid.ac/institutes/grid.46900.3b;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;1  RUE VICTOR COUSIN;;;75230;PARIS CEDEX 05;;UNIV;523
Île-de-France>Paris>Paris>Paris>Paris  5e;Université Paris-Sorbonne;Université;DÉPARTEMENT D'ÉTUDES ARABES ET HÉBRAÏQUES UNIVERSITÉ PARIS 4;48.8483065485,2.34280602515;Composante d'université avec formation diplômante;;1972-04-20;280;Universités et INP hors écoles d'ingenieurs;0752149D;0751720M;UNIVERSITE PARIS 4;0751720M;;FR0177;Q546118;https://www.wikidata.org/entity/Q546118;grid.46900.3b;https://www.grid.ac/institutes/grid.46900.3b;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;1  RUE VICTOR COUSIN;;;75230;PARIS CEDEX 05;;UNIV;540
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Paris-Sorbonne;Université;SERVICE GÉNÉRAL INTERDISCIPLINAIRE DE LA RECHERCHE;48.8524564808,2.34155167439;Service général;Études doctorales et recherche;2001-11-30;;Services communs des universités;0755123L;0751720M;UNIVERSITE PARIS 4;0751720M;;FR0177;Q546118;https://www.wikidata.org/entity/Q546118;grid.46900.3b;https://www.grid.ac/institutes/grid.46900.3b;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;28  RUE SERPENTE;;;75006;PARIS;;SERV;533
Île-de-France>Versailles>Hauts-de-Seine>Paris>Neuilly-sur-Seine;Université Paris-Sorbonne;Université;CENTRE D'ETUDES LITTÉRAIRES ET SCIENTIFIQUES APPLIQUÉES  DE L'UNIVERSITÉ  PARIS IV;48.8946338596,2.2746560878;Composante d'université avec formation diplômante;;1972-02-18;874;Universités et INP hors écoles d'ingenieurs;0921509R;0751720M;UNIVERSITE PARIS 4;0751720M;;FR0177;Q546118;https://www.wikidata.org/entity/Q546118;grid.46900.3b;https://www.grid.ac/institutes/grid.46900.3b;92051;Neuilly-sur-Seine;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;;77  RUE DE VILLIERS;;;92200;NEUILLY SUR SEINE;;UNIV;540
Île-de-France>Paris>Paris>Paris>Paris  6e;Université Paris Descartes;Université;BIBLIOTHÈQUE INTERUNIVERSITAIRE DE MÉDECINE;48.8512371457,2.34076984825;Service inter-établissements de documentation;Documentation;1978-11-16;;Services communs des universités;0752708L;0751721N;UNIVERSITE PARIS 5;0751721N;;FR0178;Q1155944;https://www.wikidata.org/entity/Q1155944;grid.10992.33;https://www.grid.ac/institutes/grid.10992.33;75106;Paris  6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;12  RUE DE L ECOLE DE MEDECINE;;;75270;PARIS CEDEX 06;;SERV;516
Île-de-France>Paris>Paris>Paris>Paris 13e;Université Paris Diderot;Université;CENTRE D'ÉTUDE DU VIVANT - UNIVERSITÉ PARIS 7;48.8288863259,2.37964513002;Service général;Service général;2000-01-09;;Services communs des universités;0755006J;0751723R;UNIVERSITE PARIS DIDEROT;0751723R;;FR0180;Q1235608;https://www.wikidata.org/entity/Q1235608;grid.7452.4;https://www.grid.ac/institutes/grid.7452.4;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;100;;6  ESPLANADE GRANDS MOULINS;;;75205;PARIS CEDEX 13;;SERV;533
Auvergne - Rhône-Alpes>Lyon>Loire>Roanne>Roanne;Conservatoire national des arts et métiers;Grand établissement;CENTRE REGIONAL ASSOCIE AU CNAM, ANNEXE DE SAINT-ETIENNE;46.0441264995,4.07149215865;Centre régional associé au CNAM;;1986-09-22;;Universités et INP hors écoles d'ingenieurs;0421933Y;0420942W;CENTRE REGIONAL ASSO AU CNAM;0753471R;CNAM;FR0193;Q524289;https://www.wikidata.org/entity/Q524289;grid.36823.3c;https://www.grid.ac/institutes/grid.36823.3c;42187;Roanne;UU42502;Roanne;D042;Loire;A10;Lyon;R84;Auvergne - Rhône-Alpes;100;;20 AVENUE DE PARIS;;;42334;ROANNE CEDEX;;UNIV;506
Auvergne - Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand>Aubière;Université Clermont Auvergne;Université;INSTITUT DE RECHERCHE SUR L ENSEIGNEMENT DES MATHEMATIQUES;45.7566399831,3.10458070559;Institut de recherche sur l'enseignement des mathématiques;;1973-08-08;;Universités et INP hors écoles d'ingenieurs;0631475L;0631525R;UNIVERSITE CLERMONT FERRAND 2;0632035V;UCA;;Q28057967;https://www.wikidata.org/entity/Q28057967;;;63014;Aubière;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;;;CAMPUS DES CEZEAUX;BP45;63170;AUBIERE;;UNIV;557
Auvergne - Rhône-Alpes>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand>Aubière;Université Clermont Auvergne;Université;INSTITUT SUPERIEUR D'INFORMATIQUE, DE MODELISATION ET DE LEURS APPLICATIONS;45.7566399831,3.10458070559;Ecole d'ingénieurs;;1994-05-20;314;Ecoles d'ingénieurs;0631883E;0631525R;UNIVERSITE CLERMONT FERRAND 2;0632035V;UCA;;Q28057967;https://www.wikidata.org/entity/Q28057967;;;63014;Aubière;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;;;CAMPUS DES CEZEAUX;BP125;63173;AUBIERE CEDEX;;ING;553
