rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;ecart_type_de_l_ips_voie_gt;ecart_type_de_l_ips_voie_pro
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350024L;LYCEE GENERAL EMILE ZOLA;35238;RENNES;public;LEGT;133.8;;133.8;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350028R;LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY;35238;RENNES;public;LEGT;115.5;;115.5;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350030T;LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE;35238;RENNES;public;LPO;122.6;90.2;104.4;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350050P;LYCEE PROFESSIONNEL BEL AIR LYCEE DES METIERS DE LA LOGISTIQUE DU TRANSPORT ET DE LA MAINTENANCE DES VEHICULES;35337;TINTENIAC;public;LP;;82.7;82.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350774B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT SAUVEUR;35236;REDON;privé sous contrat;LEGT;117.4;;117.4;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351054F;LYCEE PROFESSIONNEL CHARLES TILLON;35238;RENNES;public;LP;;88.2;88.2;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351907H;LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES;35238;RENNES;public;LEGT;115.1;;115.1;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351930H;LYCEE POLYVALENT PRIVE LA PROVIDENCE;35184;MONTAUBAN DE BRETAGNE;privé sous contrat;LPO;111.0;97.6;109.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352235P;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;35188;MONTFORT SUR MEU;public;LEGT;117.7;;117.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352446U;LYCEE PROFESSIONNEL PRIVE SAINTE THERESE LYCEE DES METIERS DE LA RESTAURATION ET DE L HOTELLERIE;35125;LA GUERCHE DE BRETAGNE;privé sous contrat;LP;;109.0;109.0;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352471W;LYCEE GENERAL PRIVE SAINT MAGLOIRE;35095;DOL DE BRETAGNE;privé sous contrat;LEGT;103.9;;103.9;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360002G;LYCEE GENERAL ROLLINAT;36006;ARGENTON SUR CREUSE;public;LEGT;107.8;;107.8;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360009P;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;36044;CHATEAUROUX;public;LEGT;102.2;;102.2;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360024F;LYCEE GENERAL ET TECHNOLOGIQUE HONORE DE BALZAC;36088;ISSOUDUN;public;LEGT;99.9;;99.9;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360043B;LYCEE POLYVALENT BLAISE PASCAL;36044;CHATEAUROUX;public;LPO;96.0;82.5;92.7;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370035M;LYCEE GENERAL DESCARTES;37261;TOURS;public;LEGT;130.4;;130.4;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370037P;LYCEE GENERAL ET TECHNOLOGIQUE CHOISEUL;37261;TOURS;public;LEGT;110.2;;110.2;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370727P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE GRAND SAINT GREGOIRE;37261;TOURS;privé sous contrat;LEGT;131.7;;131.7;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370749N;LYCEE GEN TEC PRIVE STE MARGUERITE;37050;CHAMBRAY LES TOURS;privé sous contrat;LEGT;118.7;;118.7;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0370881G;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MARMOUTIER;37261;TOURS;privé sous contrat;LEGT;121.5;;121.5;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371099U;LYCEE PROFESSIONNEL HENRI BECQUEREL LYCEE DES METIERS DE L ELECTRICITE;37261;TOURS;public;LP;;88.4;88.4;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371211R;LYCEE PROFESSIONNEL BEAUREGARD LYCEE DES METIERS DU TERTIAIRE DE LA MAINTENANCE ET DE L ELECTROTECHNIQUE;37063;CHATEAU RENAULT;public;LP;;88.7;88.7;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371418R;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES DE VAUCANSON;37261;TOURS;public;LEGT;120.4;;120.4;;
2016-2017;ORLEANS-TOURS;37;INDRE-ET-LOIRE;0371532P;LYCEE POLYVALENT PRIVE ESTHETIQUE DE TOURAINE;37261;TOURS;privé sous contrat;LP;;108.7;108.7;;
2016-2017;GRENOBLE;38;ISERE;0380008C;LYCEE GENERAL ET TECHNOLOGIQUE L OISELET;38053;BOURGOIN JALLIEU;public;LEGT;112.6;;112.6;;
2016-2017;GRENOBLE;38;ISERE;0380023U;LYCEE PROFESSIONNEL JACQUES PREVERT;38169;FONTAINE;public;LP;;85.1;85.1;;
2016-2017;GRENOBLE;38;ISERE;0380027Y;LYCEE GENERAL CHAMPOLLION;38185;GRENOBLE;public;LEGT;141.7;;141.7;;
2016-2017;GRENOBLE;38;ISERE;0380036H;LYCEE PROFESSIONNEL GUYNEMER LYCEE DES METIERS DE L AUTOMOBILE DE LA MAINTENANCE DES ENGINS ET DES EQUIPEMENTS;38185;GRENOBLE;public;LP;;89.9;89.9;;
2016-2017;GRENOBLE;38;ISERE;0380037J;LYCEE PROFESSIONNEL JEAN JAURES;38185;GRENOBLE;public;LP;;86.3;86.3;;
2016-2017;GRENOBLE;38;ISERE;0380073Y;LYCEE POLYVALENT ELIE CARTAN LYCEE DES METIERS DES EQUIPEMENTS INDUSTRIELS ET DU TEXTILE;38509;LA TOUR DU PIN;public;LPO;117.4;89.5;112.7;;
2016-2017;GRENOBLE;38;ISERE;0380081G;LYCEE POLYVALENT ELLA FITZGERALD;38544;VIENNE;public;LPO;117.6;87.5;112.3;;
2016-2017;GRENOBLE;38;ISERE;0380089R;LYCEE POLYVALENT PORTES DE L OISANS LYCEE DES METIERS DE L ELECTRONIQUE ET DU NUMERIQUE;38562;VIZILLE;public;LPO;121.7;98.9;115.7;;
2016-2017;GRENOBLE;38;ISERE;0380092U;LYCEE POLYVALENT FERDINAND BUISSON;38563;VOIRON;public;LPO;128.9;98.5;120.0;;
2016-2017;GRENOBLE;38;ISERE;0381599G;LYCEE GENERAL ET TECHNOLOGIQUE DE L EDIT;38344;ROUSSILLON;public;LEGT;107.1;;107.1;;
2016-2017;GRENOBLE;38;ISERE;0381602K;LYCEE PROFESSIONNEL L ODYSSEE;38316;PONT DE CHERUY;public;LP;;83.5;83.5;;
2016-2017;GRENOBLE;38;ISERE;0381666E;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE PIERRE TERMIER;38185;GRENOBLE;privé sous contrat;LEGT;130.7;;130.7;;
2016-2017;GRENOBLE;38;ISERE;0381683Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DES VICTOIRES;38563;VOIRON;privé sous contrat;LEGT;120.4;;120.4;;
2016-2017;GRENOBLE;38;ISERE;0381805F;LYCEE PROFESSIONNEL PRIVE LES PORTES DE CHARTREUSE;38565;VOREPPE;privé sous contrat;LP;;105.0;105.0;;
2016-2017;GRENOBLE;38;ISERE;0382031B;LYCEE PROFESSIONNEL THOMAS EDISON;38151;ECHIROLLES;public;LP;;82.1;82.1;;
2016-2017;GRENOBLE;38;ISERE;0382099A;LYCEE POLYVALENT ROGER DESCHAUX LYCEE DES METIERS DE LA CONSTRUCTION DU BTP ET DE L ENERGETIQUE;38474;SASSENAGE;public;LP;;89.8;89.8;;
2016-2017;GRENOBLE;38;ISERE;0382169B;LYCEE PROFESSIONNEL PIVE LES PRAIRIES;38563;VOIRON;privé sous contrat;LP;;94.0;94.0;;
2016-2017;GRENOBLE;38;ISERE;0382863F;LYCEE POLYVALENT DU GRESIVAUDAN;38229;MEYLAN;public;LPO;145.8;108.3;144.6;;
2016-2017;GRENOBLE;38;ISERE;0383208F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ITEC BOISFLEURY EUROPE LYCEE DES METIERS DU MEDICO SOCIAL;38516;LA TRONCHE;privé sous contrat;LEGT;134.4;;134.4;;
2016-2017;BESANCON;39;JURA;0390015E;LP JACQUES PREVERT LYCEE DES METIERS DE LA MODE ET DE L ESTHETIQUE;39198;DOLE;public;LP;;85.9;85.9;;
2016-2017;BESANCON;39;JURA;0390019J;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MICHEL;39300;LONS LE SAUNIER;public;LEGT;112.1;;112.1;;
2016-2017;BESANCON;39;JURA;0390786T;LYCEE POLYVALENT PRE SAINT SAUVEUR;39478;SAINT CLAUDE;public;LPO;97.4;76.5;90.3;;
2016-2017;BORDEAUX;40;LANDES;0400002K;LYCEE POLYVALENT GASTON CRAMPE;40001;AIRE SUR L ADOUR;public;LPO;106.8;96.3;105.1;;
2016-2017;BORDEAUX;40;LANDES;0400007R;LYCEE POLYVALENT DE BORDA;40088;DAX;public;LPO;110.7;92.1;108.2;;
2016-2017;BORDEAUX;40;LANDES;0400046H;LYCEE GENERAL SAINT EXUPERY;40217;PARENTIS EN BORN;public;LEGT;106.6;;106.6;;
2016-2017;BORDEAUX;40;LANDES;0401002X;LYCEE POLYVALENT HAROUN TAZIEFF LYCEE DES METIERS DU BOIS;40279;SAINT PAUL LES DAX;public;LPO;108.2;91.1;102.2;;
2016-2017;LYON;42;LOIRE;0420042T;LYCEE GENERAL ET TECHNOLOGIQUE HONORE D URFE;42218;SAINT ETIENNE;public;LEGT;103.8;;103.8;;
2016-2017;LYON;42;LOIRE;0420043U;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;42218;SAINT ETIENNE;public;LEGT;107.9;;107.9;;
2016-2017;LYON;42;LOIRE;0420049A;LYCEE PROFESSIONNEL BENOIT CHARVET;42218;SAINT ETIENNE;public;LP;;74.7;74.7;;
2016-2017;LYON;42;LOIRE;0420973E;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT PAUL FOREZ;42147;MONTBRISON;privé sous contrat;LEGT;110.9;;110.9;;
2016-2017;LYON;42;LOIRE;0420974F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE ANNE;42187;ROANNE;privé sous contrat;LEGT;99.8;;99.8;;
2016-2017;LYON;42;LOIRE;0421025L;LYCEE GENERAL PRIVE NOTRE DAME;42052;CHARLIEU;privé sous contrat;LEGT;102.5;;102.5;;
2016-2017;LYON;42;LOIRE;0421606T;LYCEE PROFESSIONNEL ADRIEN TESTUD LYCEE DES METIERS DE LA MODE;42044;LE CHAMBON FEUGEROLLES;public;LP;;83.4;83.4;;
2016-2017;LYON;42;LOIRE;0421788R;LYCEE GENERAL ET TECHNOLOGIQUE DU FOREZ;42094;FEURS;public;LEGT;113.3;;113.3;;
2016-2017;LYON;42;LOIRE;0421976V;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS MAURIAC FOREZ;42005;ANDREZIEUX BOUTHEON;public;LEGT;117.8;;117.8;;
2016-2017;LYON;42;LOIRE;0422158T;LYCEE POLYVALENT PRIVE LA SALESIENNE LYCEE DES METIERS DES TECHNOLOGIES DE LA SANTE DES SOINS ET SERVICES AUX PERSONNES ET AUX COLLECTIVITES;42218;SAINT ETIENNE;privé sous contrat;LPO;96.6;82.5;87.7;;
2016-2017;CLERMONT-FERRAND;43;HAUTE-LOIRE;0430003V;LYCEE GENERAL ET TECHNOLOGIQUE LA FAYETTE;43040;BRIOUDE;public;LEGT;107.8;;107.8;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440021J;LYCEE GENERAL ET TECHNOLOGIQUE CLEMENCEAU;44109;NANTES;public;LEGT;139.6;;139.6;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440024M;LYCEE GENERAL GABRIEL GUIST HAU;44109;NANTES;public;LEGT;141.3;;141.3;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440029T;LYCEE GENERAL ET TECHNOLOGIQUE LIVET;44109;NANTES;public;LEGT;127.0;;127.0;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440035Z;LYCEE PROFESSIONNEL LEONARD DE VINCI;44109;NANTES;public;LP;;82.9;82.9;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA RELATION CLIENTELE;44109;NANTES;public;LP;;88.5;88.5;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440077V;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT;44195;SAVENAY;public;LEGT;116.6;;116.6;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440086E;LYCEE GENERAL ET TECHNOLOGIQUE LA COLINIERE;44109;NANTES;public;LEGT;114.0;;114.0;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440149Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;44003;ANCENIS;privé sous contrat;LEGT;122.2;;122.2;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440163N;LYCEE GENERAL PRIVE SAINT STANISLAS;44109;NANTES;privé sous contrat;LEGT;135.4;;135.4;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440172Y;LYCEE GENERAL PRIVE LA PERVERIE SACRE COEUR;44109;NANTES;privé sous contrat;LEGT;144.7;;144.7;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440175B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE GABRIEL DESHAYES;44161;SAINT GILDAS DES BOIS;privé sous contrat;LEGT;102.9;;102.9;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440255N;LYCEE PROFESSIONNEL PRIVE ENCIA;44109;NANTES;privé sous contrat;LP;;128.2;128.2;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440262W;LYCEE PROFESSIONNEL PRIVE NAZARETH;44036;CHATEAUBRIANT;privé sous contrat;LP;;94.0;94.0;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440279P;LYCEE POLYVALENT PRIVE DES METIERS LA BAUGERIE;44190;SAINT SEBASTIEN SUR LOIRE;privé sous contrat;LPO;108.3;93.9;98.4;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440307V;LYCEE PROFESSIONNEL PRIVE SAINTE THERESE;44184;SAINT NAZAIRE;privé sous contrat;LP;;95.8;95.8;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0440315D;LYCEE PROFESSIONNEL ANDRE BOULLOCHE;44184;SAINT NAZAIRE;public;LP;;80.1;80.1;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0441993C;LYCEE GENERAL ET TECHNOLOGIQUE CARCOUET;44109;NANTES;public;LEGT;101.6;;101.6;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0442752C;LYCEE POLYVALENT AIME CESAIRE;44043;CLISSON;public;LPO;121.2;96.4;119.1;;
2016-2017;NANTES;44;LOIRE-ATLANTIQUE;0442775C;LYCEE PROFESSIONNEL PRIVE ST FELIX LA SALLE;44109;NANTES;privé sous contrat;LP;;106.1;106.1;;
2016-2017;ORLEANS-TOURS;45;LOIRET;0450062Y;LYCEE GENERAL ET TECHNOLOGIQUE DUHAMEL DU MONCEAU;45252;PITHIVIERS;public;LEGT;100.2;;100.2;;
2016-2017;ORLEANS-TOURS;45;LOIRET;0450107X;LYCEE POLYVALENT PRIVE SAINT LOUIS;45208;MONTARGIS;privé sous contrat;LPO;111.5;90.5;99.7;;
2016-2017;ORLEANS-TOURS;45;LOIRET;0450750W;LYCEE PROFESSIONNEL JEAN DE LA TAILLE LYCEE DES METIERS DE L ELECTROTECHNIQUE ET DE LA MAINTENANCE INDUSTRIELLE DE L HOTELLERIE ET DU COMMERCE;45252;PITHIVIERS;public;LP;;82.6;82.6;;
2016-2017;ORLEANS-TOURS;45;LOIRET;0451590J;LYCEE PROFESSIONNEL PRIVE STE CROIX STE EUVERTE LYCEE DES METIERS DES TECHNIQUES INDUSTRIELLES DE LA COMMERCIALISATION DE LA SANTE ET DU SOCIAL;45234;ORLEANS;privé sous contrat;LP;;104.9;104.9;;
2016-2017;TOULOUSE;46;LOT;0460013P;LYCEE GENERAL;46127;GOURDON;public;LPO;113.7;84.4;102.5;;
2016-2017;TOULOUSE;46;LOT;0460028F;LYCEE POLYVALENT LOUIS VICAT LYCEE DES METIERS CONSTRUCTION ET ENERGETIQUE BATIMENT;46309;SOUILLAC;public;LPO;110.1;86.0;101.6;;
2016-2017;TOULOUSE;46;LOT;0460039T;LYCEE POLYVALENT PRIVE JEANNE D ARC;46102;FIGEAC;privé sous contrat;LPO;110.3;89.7;102.9;;
2016-2017;TOULOUSE;46;LOT;0460051F;LYCEE PROFESSIONNEL CLEMENT MAROT LYCEE DES METIERS DU TERTIAIRE ET DU SOCIAL;46042;CAHORS;public;LP;;90.6;90.6;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470009E;LYCEE GENERAL STENDHAL;47004;AIGUILLON;public;LEGT;104.4;;104.4;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470018P;LYCEE GENERAL ET TECHNOLOGIQUE MARGUERITE FILHOL;47106;FUMEL;public;LEGT;103.2;;103.2;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470020S;LYCEE POLYVALENT VAL DE GARONNE LYCEE DES METIERS DES TECHNIQUES INNOVANTES;47157;MARMANDE;public;LPO;109.4;88.2;106.0;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470029B;LYCEE PROFESSIONNEL JACQUES DE ROMAS LYCEE DES METIERS DE L HOTELLERIE RESTAURATION ET DES SERVICES A LA PERSONNE;47195;NERAC;public;LP;;87.7;87.7;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470038L;LYCEE POLYVALENT GEORGES LEYGUES LYCEE DES METIERS DU TERTIAIRE ET DU SOCIAL;47323;VILLENEUVE SUR LOT;public;LPO;106.6;79.4;99.5;;
2016-2017;BORDEAUX;47;LOT-ET-GARONNE;0470641S;LYCEE PROFESSIONNEL BENOIT D AZY;47106;FUMEL;public;LP;;79.2;79.2;;
2016-2017;NANTES;49;MAINE-ET-LOIRE;0490002L;LYCEE GENERAL ET TECHNOLOGIQUE JOACHIM DU BELLAY;49007;ANGERS;public;LEGT;120.8;;120.8;;
2016-2017;NANTES;49;MAINE-ET-LOIRE;0490952U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CHAMP BLANC;49301;SEVREMOINE;privé sous contrat;LEGT;115.6;;115.6;;
2016-2017;CAEN;50;MANCHE;0500028J;LYCEE PROFESSIONNEL LES SAPINS LYCEE DES METIERS DE LA MODE ET DES SERVICES;50147;COUTANCES;public;LP;;85.4;85.4;;
2016-2017;CAEN;50;MANCHE;0500116E;LYCEE GENERAL PRIVE JEAN PAUL II;50147;COUTANCES;privé sous contrat;LEGT;118.3;;118.3;;
2016-2017;CAEN;50;MANCHE;0501677B;LYCEE PROFESSIONNEL SAUXMARAIS LYCEE DES METIERS DE L AUTOMOBILE DE L INSUSTRIE DES PROCEDES ET DE LA RELATION CLIENT;50129;CHERBOURG EN COTENTIN;public;LP;;81.6;81.6;;
2016-2017;CAEN;50;MANCHE;0501825M;LYCEE PROFESSIONNEL PRIVE INSTITUT SAINT LO;50002;AGNEAUX;privé sous contrat;LP;;99.8;99.8;;
2016-2017;CAEN;50;MANCHE;0501839C;LYCEE GENERAL ET TECHNOLOGIQUE SIVARD DE BEAULIEU;50099;CARENTAN LES MARAIS;public;LEGT;100.0;;100.0;;
2016-2017;REIMS;51;MARNE;0510035L;LYCEE GENERAL ET TECHNOLOGIQUE HUGUES LIBERGIER LYCEE DES METIERS DES BIOTECHNOLOGIES LYCEE DES METIERS DE L ASSISTANCE AU MANAGEMENT;51454;REIMS;public;LEGT;94.9;;94.9;;
2016-2017;REIMS;51;MARNE;0510053F;LYCEE POLYVALENT LA FONTAINE DU VE;51535;SEZANNE;public;LPO;100.1;80.2;93.0;;
2016-2017;REIMS;51;MARNE;0511149X;LYCEE PROFESSIONNEL PRIVE SAINTE MARIE;51230;EPERNAY;privé sous contrat;LP;;92.3;92.3;;
2016-2017;REIMS;52;HAUTE-MARNE;0521032P;LYCEE POLYVALENT CHARLES DE GAULLE LYCEE DES METIERS DE LA TRANSFORMATION DU BOIS LYCEE DES METIERS DU DESIGN GRAPHIQUE;52121;CHAUMONT;public;LPO;111.0;86.9;108.8;;
2016-2017;NANTES;53;MAYENNE;0530048P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE IMMACULEE CONCEPTION;53130;LAVAL;privé sous contrat;LEGT;130.1;;130.1;;
2016-2017;NANTES;53;MAYENNE;0530904V;LYCEE PROFESSIONNEL PRIVE IMMACULEE CONCEPTION;53130;LAVAL;privé sous contrat;LP;;98.1;98.1;;
2016-2017;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0540032S;LYCEE PROFESSIONNEL DARCHE;54323;LONGWY;public;LP;;79.3;79.3;;
2016-2017;NANCY-METZ;54;MEURTHE-ET-MOSELLE;0541319R;LYCEE GENERAL PRIVE SAINT DOMINIQUE;54395;NANCY;privé sous contrat;LEGT;115.8;;115.8;;
2016-2017;LILLE;62;PAS-DE-CALAIS;0622807P;LYCEE POLYVALENT HOTELIER LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;62826;LE TOUQUET PARIS PLAGE;public;LPO;116.7;101.9;108.9;;
2016-2017;LILLE;62;PAS-DE-CALAIS;0624109E;LYCEE POLYVALENT GIRAUX SANNIER LYCEE DES METIERS DE L INDUSTRIE DES TERRES D OPALE;62758;SAINT MARTIN BOULOGNE;public;LPO;99.0;76.5;90.1;;
2016-2017;LILLE;62;PAS-DE-CALAIS;0624440P;LYCEE POLYVALENT D ARTOIS LYCEE DES METIERS DE LA CHAUDRONNERIE INDUSTRIELLE;62617;NOEUX LES MINES;public;LPO;95.0;70.4;84.9;;
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0630021F;LYCEE POLYVALENT LA FAYETTE LYCEE DES METIERS DE L INGENIERIE INDUSTRIELLE;63113;CLERMONT FERRAND;public;LPO;115.9;93.9;108.5;;
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631048X;LYCEE PROFESSIONNEL PRIVE RENE RAMBAUD COIFFURE;63113;CLERMONT FERRAND;privé sous contrat;LP;;76.8;76.8;;
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631409P;LYCEE PROFESSIONNEL CAMILLE CLAUDEL LYCEE DES METIERS DU GENIE ELECTRIQUE DE LA PREVENTION ET DE LA SECURITE;63113;CLERMONT FERRAND;public;LP;;89.2;89.2;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640031L;LYCEE PROFESSIONNEL EXPERIMENTAL ANDRE CAMPA;64284;JURANCON;public;LP;;88.0;88.0;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640047D;LYCEE GENERAL JULES SUPERVIELLE;64422;OLORON SAINTE MARIE;public;LEGT;111.1;;111.1;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640050G;LYCEE PROFESSIONNEL DU 4 SEPTEMBRE 1870 LYCEE DES METIERS DU COMMERCE ET DES SERVICES;64422;OLORON SAINTE MARIE;public;LP;;85.9;85.9;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640098J;LYCEE PROFESSIONNEL GABRIEL HAURE PLACE LYCEE DES METIERS AMEUBLEMENT ET DECORATION;64191;COARRAZE;public;LP;;97.4;97.4;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641408H;LYCEE PROFESSIONNEL PRIVE SAINTE BERNADETTE;64075;AUDAUX;privé sous contrat;LP;;79.6;79.6;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641705F;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIERS COMMERCE VENTE ET SANTE SOCIAL;64547;USTARITZ;privé sous contrat;LP;;98.7;98.7;;
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641839B;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES MONOD;64335;LESCAR;public;LEGT;118.7;;118.7;;
2016-2017;TOULOUSE;65;HAUTES-PYRENEES;0650005C;LYCEE POLYVALENT VICTOR DURUY LYCEE DES METIERS DES SERVICES A LA PERSONNE ET DE L INDUSTRIE EN MONTAGNE;65059;BAGNERES DE BIGORRE;public;LPO;115.2;92.4;108.0;;
2016-2017;TOULOUSE;65;HAUTES-PYRENEES;0650038N;LYCEE GENERAL PIERRE MENDES FRANCE;65460;VIC EN BIGORRE;public;LEGT;115.0;;115.0;;
2016-2017;MONTPELLIER;66;PYRENEES-ORIENTALES;0660010C;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS ARAGO;66136;PERPIGNAN;public;LEGT;106.4;;106.4;;
2016-2017;MONTPELLIER;66;PYRENEES-ORIENTALES;0660768B;LYCEE GENERAL PRIVE SAINT LOUIS DE GONZAGUE;66136;PERPIGNAN;privé sous contrat;LEGT;127.3;;127.3;;
2016-2017;STRASBOURG;67;BAS-RHIN;0670024M;LYCEE PROFESSIONNEL ANDRE SIEGFRIED LYCEE DES METIERS;67180;HAGUENAU;public;LP;;84.0;84.0;;
2016-2017;STRASBOURG;67;BAS-RHIN;0670041F;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MECK;67300;MOLSHEIM;public;LEGT;119.4;;119.4;;
2016-2017;PARIS;75;PARIS;0750673Z;LYCEE GENERAL COLBERT;75110;PARIS 10E ARRONDISSEMENT;public;LEGT;113.3;;113.3;;
2016-2017;PARIS;75;PARIS;0750770E;LYCEE PROFESSIONNEL ABBE GREGOIRE;75103;PARIS 3E ARRONDISSEMENT;public;LP;;90.7;90.7;;
2016-2017;PARIS;75;PARIS;0750796H;LYCEE PROFESSIONNEL OCTAVE FEUILET LYCEE DES METIERS DE LA MODE;75116;PARIS 16E ARRONDISSEMENT;public;LP;;104.9;104.9;;
2016-2017;PARIS;75;PARIS;0753902J;LYCEE GENERAL PRIVE NOTRE DAME DE FRANCE;75113;PARIS 13E ARRONDISSEMENT;privé sous contrat;LEGT;137.5;;137.5;;
2016-2017;PARIS;75;PARIS;0754239A;LYCEE POLYVALENT PRIVE SAINT JEAN DE MONTMARTRE LYCEE DES METIERS PRIVE DE LA VENTE ET DU COMMERCE;75118;PARIS 18E ARRONDISSEMENT;privé sous contrat;LPO;120.3;105.0;105.7;;
2016-2017;PARIS;75;PARIS;0754476H;LYCEE POLYVALENT GUILLAUME TIREL LYCEE DES METIERS DE L HOTELLERIE;75114;PARIS 14E ARRONDISSEMENT;public;LPO;141.2;100.9;111.6;;
2016-2017;PARIS;75;PARIS;0754479L;LYCEE GENERAL PRIVE OZAR HATORAH;75111;PARIS 11E ARRONDISSEMENT;privé sous contrat;LEGT;119.2;;119.2;;
