id;date;code_insee_region;region;tmin;tmax;tmoy
2018-02-08T00:00:00-53;2018-02-08;53;Bretagne;-1.67;8.32;3.32
2018-02-09T00:00:00-11;2018-02-09;11;Île-de-France;-4.92;1.48;-1.72
2018-02-09T00:00:00-52;2018-02-09;52;Pays de la Loire;-1.45;8.15;3.35
2018-02-09T00:00:00-44;2018-02-09;44;Grand Est;-3.28;2.41;-0.43
2018-02-09T00:00:00-53;2018-02-09;53;Bretagne;3.28;7.8;5.54
2018-02-10T00:00:00-11;2018-02-10;11;Île-de-France;-2.76;5.74;1.49
2018-02-10T00:00:00-44;2018-02-10;44;Grand Est;-0.69;3.45;1.38
2018-02-10T00:00:00-27;2018-02-10;27;Bourgogne-Franche-Comté;-0.43;4.22;1.89
2018-02-10T00:00:00-32;2018-02-10;32;Hauts-de-France;-1.46;6.42;2.48
2018-02-10T00:00:00-52;2018-02-10;52;Pays de la Loire;-2.9;10.25;3.68
2018-02-11T00:00:00-52;2018-02-11;52;Pays de la Loire;5.6;10.1;7.85
2018-02-11T00:00:00-28;2018-02-11;28;Normandie;2.9;7.72;5.31
2018-02-12T00:00:00-53;2018-02-12;53;Bretagne;-1.43;8.28;3.42
2018-02-13T00:00:00-94;2018-02-13;94;Corse;3.15;11.7;7.43
2018-02-13T00:00:00-53;2018-02-13;53;Bretagne;2.55;8.8;5.68
2018-02-13T00:00:00-75;2018-02-13;75;Nouvelle-Aquitaine;-1.59;7.82;3.12
2018-02-14T00:00:00-11;2018-02-14;11;Île-de-France;-0.16;6.92;3.38
2018-02-14T00:00:00-32;2018-02-14;32;Hauts-de-France;-0.58;6.84;3.13
2018-02-15T00:00:00-44;2018-02-15;44;Grand Est;0.35;8.09;4.22
2018-02-15T00:00:00-32;2018-02-15;32;Hauts-de-France;3.2;10.74;6.97
2018-02-16T00:00:00-84;2018-02-16;84;Auvergne-Rhône-Alpes;5.95;11.05;8.5
2018-02-16T00:00:00-11;2018-02-16;11;Île-de-France;1.54;9.28;5.41
2018-02-17T00:00:00-94;2018-02-17;94;Corse;8.8;16.75;12.78
2018-02-17T00:00:00-44;2018-02-17;44;Grand Est;0.46;4.42;2.44
2018-02-17T00:00:00-93;2018-02-17;93;Provence-Alpes-Côte d'Azur;7.72;10.57;9.14
2018-02-18T00:00:00-76;2018-02-18;76;Occitanie;3.4;10.01;6.7
2018-02-18T00:00:00-28;2018-02-18;28;Normandie;0.48;8.94;4.71
2018-02-18T00:00:00-24;2018-02-18;24;Centre-Val de Loire;-0.37;9.75;4.69
2018-02-19T00:00:00-32;2018-02-19;32;Hauts-de-France;0.86;4.76;2.81
2018-02-19T00:00:00-44;2018-02-19;44;Grand Est;-2.33;2.96;0.32
2018-02-20T00:00:00-76;2018-02-20;76;Occitanie;6.58;11.0;8.79
