STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,"42294",Saint-Vincent-de-Boisset,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200035731",SAINT-VINCENT-DE-BOISSET,"1119"
Commune simple,"61290",Montreuil-au-Houlme,"2",ORNE,"61",NORMANDIE,"28","246100390",MONTREUIL-AU-HOULME,"741"
Commune simple,"42118",Lay,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",LAY,"1085"
Commune simple,"42171",Pinay,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200065894",PINAY,"1274"
Commune simple,"42277",Saint-Priest-la-Roche,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",SAINT-PRIEST-LA-ROCHE,
Commune simple,"42254",Saint-Marcel-de-Félines,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200065894",SAINT-MARCEL-DE-FELINES,"875"
Commune simple,"42161",Notre-Dame-de-Boisset,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200035731",NOTRE-DAME-DE-BOISSET,"1371"
Commune simple,"42077",Croizet-sur-Gand,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",CROIZET-SUR-GAND,"825"
Commune simple,"42325",Vendranges,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",VENDRANGES,"633"
Commune simple,"42241",Saint-Jodard,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200065894",SAINT-JODARD,"792"
Commune simple,"42156",Neulise,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",NEULISE,"858"
Commune simple,"42068",Combre,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","200035731",COMBRE,"907"
Commune simple,"42153",Neaux,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",NEAUX,"967"
Commune simple,"42249",Saint-Just-la-Pendue,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",SAINT-JUST-LA-PENDUE,"1059"
Commune simple,"42289",Saint-Symphorien-de-Lay,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",SAINT-SYMPHORIEN-DE-LAY,"1195"
Commune simple,"42181",Régny,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",REGNY,"988"
Commune simple,"42178",Pradines,"2",LOIRE,"42",AUVERGNE-RHONE-ALPES,"84","244200630",PRADINES,"750"
Commune simple,"63066",Celles-sur-Durolle,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",CELLES-SUR-DUROLLE,"932"
Commune simple,"01427",Trévoux,"2",AIN,"01",AUVERGNE-RHONE-ALPES,"84","200042497",TREVOUX,"2155"
Commune simple,"63267",Palladuc,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",PALLADUC,"1272"
Commune simple,"63402",Saint-Victor-Montvianeix,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",SAINT-VICTOR-MONTVIANEIX,"994"
Commune simple,"03125",La Guillermie,"3",ALLIER,"03",AUVERGNE-RHONE-ALPES,"84","200071363",LA GUILLERMIE,
Commune simple,"63310",Sainte-Agathe,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",SAINTE-AGATHE,"710"
Commune simple,"63355",Saint-Gervais-sous-Meymont,"1",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070761",SAINT-GERVAIS-SOUS-MEYMONT,
Commune simple,"63174",Grandval,"1",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070761",GRANDVAL,
Commune simple,"63016",Augerolles,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",AUGEROLLES,"992"
Commune simple,"63469",Vollore-Ville,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",VOLLORE-VILLE,"852"
Commune simple,"63086",La Chapelle-Agnon,"1",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070761",LA CHAPELLE-AGNON,"689"
Commune simple,"72036",Béthon,"2",SARTHE,"72",PAYS DE LA LOIRE,"52","200072700",BETHON,"883"
Commune simple,"63260",Olmet,"5",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070712",OLMET,"993"
Commune simple,"63258",Olliergues,"1",PUY-DE-DOME,"63",AUVERGNE-RHONE-ALPES,"84","200070761",OLLIERGUES,"1003"
Commune simple,"61390",Saint-Georges-d'Annebecq,"2",ORNE,"61",NORMANDIE,"28","200068450",SAINT-GEORGES-D'ANNEBECQ,
Commune simple,"29075",Guipavas,"1",FINISTERE,"29",BRETAGNE,"53","242900314",GUIPAVAS,"1599"
Commune simple,"29011",Bohars,"1",FINISTERE,"29",BRETAGNE,"53","242900314",BOHARS,"1313"
Commune simple,"29069",Guilers,"1",FINISTERE,"29",BRETAGNE,"53","242900314",GUILERS,"1533"
Commune simple,"29212",Plouzané,"1",FINISTERE,"29",BRETAGNE,"53","242900314",PLOUZANE,"1602"
Commune simple,"29260",Saint-Renan,"1",FINISTERE,"29",BRETAGNE,"53","242900074",SAINT-RENAN,"1702"
Commune simple,"29130",Locmaria-Plouzané,"1",FINISTERE,"29",BRETAGNE,"53","242900074",LOCMARIA-PLOUZANE,"1568"
Commune simple,"29201",Ploumoguer,"1",FINISTERE,"29",BRETAGNE,"53","242900074",PLOUMOGUER,"1576"
