Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3000;2022;Agglomération de Nîmes;Périphérie;;5. Après 2005;;Ensemble 3P;8,7;9,7;10,8;11,3;12,2;10,4;523;615;662;700;752;653;63;122;642;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;;5. Après 2005;1. Moins de 1 an;;9,4;10,6;11,3;11,3;12,0;10,6;478;695;826;900;970;786;74;131;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;;5. Après 2005;2. 1 an et plus;;8,1;8,2;9,3;10,0;10,9;8,9;506;650;790;900;950;774;86;277;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;;;7,1;8,1;9,1;9,9;10,8;8,8;575;700;824;900;1050;817;93;370;5510;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;;Maison 1-3P;6,7;7,6;9,9;10,6;12,4;8,9;504;540;600;684;790;619;69;109;1802;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;;Maison 4P+;7,2;8,2;9,0;9,5;10,5;8,7;700;780;881;950;1050;874;100;261;3708;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;1. Moins de 1 an;;7,1;8,7;10,3;11,3;12,4;9,5;550;617;780;900;950;776;81;116;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;45;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;1. Moins de 1 an;Maison 4P+;7,5;9,0;10,3;11,3;11,3;9,6;750;830;900;906;990;889;92;71;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;2. 1 an et plus;;6,9;8,1;9,0;9,5;10,3;8,6;575;709;824;930;1050;828;97;254;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;2. 1 an et plus;Maison 1-3P;6,3;7,6;8,5;10,5;11,3;8,6;490;525;575;669;790;595;69;64;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;;2. 1 an et plus;Maison 4P+;7,1;8,1;9,0;9,5;10,0;8,6;700;780;881;950;1050;872;102;190;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;1. Avant 1946;;;5,8;7,0;7,8;9,3;10,3;7,8;550;600;680;813;919;710;92;86;1070;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;47;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;39;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;37;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;49;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;24;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;6;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;18;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;8;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;16;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;3. Entre 1971-1990;;;5,1;6,3;9,1;11,1;12,4;8,1;550;595;690;881;1000;753;92;66;1170;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;17;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;49;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;12;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;3. Entre 1971-1990;2. 1 an et plus;;4,6;5,5;8,5;10,3;11,3;7,7;504;550;790;910;1000;767;99;54;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;4. Entre 1991-2005;;;7,6;8,8;9,5;9,5;10,5;9,2;700;750;880;1050;1050;869;95;97;1364;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;18;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;4. Entre 1991-2005;;Maison 4P+;8,0;8,9;9,5;9,5;10,4;9,2;704;780;889;1050;1050;903;98;79;980;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;25;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;4. Entre 1991-2005;2. 1 an et plus;;7,6;8,8;9,5;9,5;10,3;9,1;700;750;889;1050;1050;887;97;72;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;5. Après 2005;;;8,1;8,2;9,2;10,3;11,3;9,2;658;790;900;900;1025;868;95;97;1117;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;21;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;5. Après 2005;;Maison 4P+;8,1;8,2;9,0;9,7;11,3;9,1;790;826;900;933;1038;893;98;76;848;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;34;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Maison;5. Après 2005;2. 1 an et plus;;8,1;8,2;8,4;9,6;10,5;8,9;650;790;881;900;950;853;96;63;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;;;7,4;8,4;9,6;11,2;12,7;9,3;410;482;565;675;780;592;64;666;4440;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;;Appart 1P;7,8;9,0;13,0;13,6;14,3;11,8;270;331;390;450;570;396;34;66;350;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;;Appart 2P;8,4;9,2;10,0;11,2;12,8;10,2;400;435;490;520;620;493;48;245;1614;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;;Appart 3P;7,1;8,3;9,0;11,2;11,3;9,2;500;555;650;700;730;630;69;240;1729;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;;Appart 4P+;6,0;7,3;8,2;9,2;10,7;8,1;560;650;760;915;1200;810;100;115;748;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;1. Moins de 1 an;;7,8;8,4;10,1;11,3;13,2;9,9;400;480;591;700;746;590;59;222;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;1. Moins de 1 an;Appart 1P;;;;;;;;;;;;;;26;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;1. Moins de 1 an;Appart 2P;8,2;8,9;10,0;12,8;15,7;10,7;370;410;480;500;550;473;44;72;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;1. Moins de 1 an;Appart 3P;7,6;8,4;10,4;11,2;11,3;9,7;505;591;670;720;763;652;67;87;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;37;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;2. 1 an et plus;;7,1;8,3;9,3;10,4;12,3;8,9;415;485;550;666;800;593;66;444;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;2. 1 an et plus;Appart 1P;;;;;;;;;;;;;;40;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;2. 1 an et plus;Appart 2P;8,6;9,2;9,9;10,4;12,4;9,9;405;468;497;550;640;504;51;173;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;2. 1 an et plus;Appart 3P;6,9;8,1;9,0;10,1;11,4;8,7;500;540;632;675;708;610;70;153;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;;2. 1 an et plus;Appart 4P+;5,7;6,2;8,1;9,2;10,7;7,9;560;644;768;910;1200;799;101;78;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;;;7,6;8,2;9,0;10,0;13,0;9,1;390;450;512;650;675;535;59;153;1112;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;;Appart 1P;;;;;;;;;;;;;;19;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;;Appart 2P;8,2;8,8;10,0;10,4;12,5;10,0;370;410;480;512;582;477;48;60;395;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;;Appart 3P;7,1;8,1;8,4;9,0;9,7;8,5;500;540;650;675;740;625;74;60;402;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;;Appart 4P+;;;;;;;;;;;;;;14;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;1. Moins de 1 an;;7,6;8,2;8,9;11,2;14,3;9,3;390;430;520;670;740;556;60;64;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;1. Avant 1946;2. 1 an et plus;;7,1;8,2;9,0;10,0;12,4;9,0;405;450;500;620;675;521;58;89;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;;;;;;;;;;;;;;;;46;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;;Appart 1P;;;;;;;;;;;;;;3;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;;Appart 2P;;;;;;;;;;;;;;8;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;;Appart 3P;;;;;;;;;;;;;;23;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;;Appart 4P+;;;;;;;;;;;;;;12;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;14;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;32;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;;;7,7;8,9;9,6;10,9;12,2;9,5;470;490;601;730;859;641;67;79;684;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;;Appart 1P;;;;;;;;;;;;;;1;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;;Appart 2P;;;;;;;;;;;;;;31;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;;Appart 3P;;;;;;;;;;;;;;17;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;;Appart 4P+;;;;;;;;;;;;;;30;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;26;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;3. Entre 1971-1990;2. 1 an et plus;;6,2;8,5;9,2;9,8;10,7;9,0;490;512;621;750;1200;680;76;53;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;;;8,1;9,9;11,2;11,6;12,8;10,4;450;487;591;696;763;619;60;77;927;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;;Appart 1P;;;;;;;;;;;;;;4;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;;Appart 2P;;;;;;;;;;;;;;22;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;;Appart 3P;;;;;;;;;;;;;;36;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;;Appart 4P+;;;;;;;;;;;;;;15;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;21;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;4. Entre 1991-2005;2. 1 an et plus;;7,6;8,5;10,6;11,0;14,2;9,9;390;479;620;719;914;629;64;56;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;;;8,2;9,6;10,3;11,3;12,3;9,6;417;497;637;700;830;628;65;311;991;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;;Appart 1P;;;;;;;;;;;;;;39;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;;Appart 2P;9,6;9,6;10,0;11,4;12,4;10,4;420;475;497;565;650;521;50;124;375;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;;Appart 3P;8,5;9,8;11,1;11,3;12,2;10,4;517;593;655;700;708;639;62;104;414;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;;Appart 4P+;;;;;;;;;;;;;;44;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;1. Moins de 1 an;;9,4;10,4;11,3;11,4;12,3;10,7;408;509;695;700;788;639;60;97;;Estimation directe
B3000;2022;Agglomération de Nîmes;Périphérie;Appartement;5. Après 2005;2. 1 an et plus;;7,7;9,4;10,0;10,9;12,4;9,2;425;497;622;711;830;623;68;214;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;;7,4;8,3;9,5;10,9;12,5;9,1;375;450;570;741;948;628;69;3681;17490;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Maison 1-3P;7,2;8,3;9,7;11,0;12,5;9,4;452;530;608;680;713;607;65;151;1403;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Ensemble 4P+;6,6;7,5;8,3;9,2;10,6;8,3;625;700;800;974;1202;872;104;820;6041;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Maison 4P+;6,5;7,5;8,2;9,3;10,6;8,3;670;727;814;1000;1250;902;108;621;4915;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Appart 1P;10,0;11,2;13,0;15,3;17,0;13,0;288;305;341;380;450;355;27;449;1699;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Appart 2P;8,7;9,5;10,5;11,4;12,5;10,4;375;406;442;480;520;445;43;1317;4685;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Appart 3P;7,7;8,5;9,3;9,9;11,0;9,3;498;530;575;635;713;595;64;944;3662;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Appart 4P+;6,7;7,5;8,3;9,0;10,0;8,4;537;604;700;850;975;740;88;199;1126;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Ensemble 1P;10,0;11,2;13,0;15,3;17,2;13,0;288;306;341;381;450;356;27;452;1718;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Ensemble 2P;8,6;9,5;10,5;11,5;12,6;10,4;378;408;444;484;538;452;43;1351;4923;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;;Ensemble 3P;7,5;8,5;9,3;10,1;11,1;9,2;499;535;585;655;713;602;65;1058;4807;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;1. Moins de 1 an;;8,1;9,1;10,2;12,0;14,2;9,9;370;450;570;758;1000;649;65;965;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;1. Moins de 1 an;Ensemble 4P+;7,2;8,0;9,0;10,3;11,5;9,0;670;741;880;1150;1512;973;108;181;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;1. Moins de 1 an;Ensemble 1P;10,0;12,1;14,0;15,9;18,0;13,7;290;308;353;390;450;359;26;181;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;1. Moins de 1 an;Ensemble 2P;9,0;9,9;11,1;12,3;13,9;10,9;382;430;470;520;565;478;44;342;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;1. Moins de 1 an;Ensemble 3P;8,7;9,3;9,8;10,6;11,7;10,0;536;570;621;676;825;647;65;261;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;2. 1 an et plus;;7,1;8,0;9,2;10,5;11,8;8,8;384;448;570;736;920;619;70;2716;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;2. 1 an et plus;Ensemble 4P+;6,4;7,4;8,1;8,8;10,1;8,1;620;690;783;941;1160;835;103;639;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;2. 1 an et plus;Ensemble 1P;9,9;10,8;12,2;14,5;16,7;12,4;280;305;335;377;463;353;28;271;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;2. 1 an et plus;Ensemble 2P;8,5;9,4;10,3;11,1;12,0;10,1;370;401;435;465;502;438;43;1009;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;;2. 1 an et plus;Ensemble 3P;7,2;8,2;9,1;9,9;11,0;8,9;487;525;573;644;700;586;65;797;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;;;7,0;8,0;9,9;12,4;14,4;9,4;348;400;520;700;864;594;63;300;1547;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;;Ensemble 4P+;5,4;7,0;8,0;9,2;12,0;8,3;592;692;770;880;1200;847;102;76;581;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;;Ensemble 1P;10,9;11,8;13,2;17,9;22,0;14,4;277;318;350;390;540;372;26;58;152;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;;Ensemble 2P;7,5;9,3;10,9;13,0;13,9;10,5;350;375;430;520;520;441;42;96;345;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;;Ensemble 3P;6,9;7,9;9,8;10,5;12,6;9,3;448;537;626;700;850;631;68;70;470;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;1. Moins de 1 an;;7,3;8,6;10,0;13,2;15,5;9,6;360;400;520;700;880;612;64;77;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;1. Avant 1946;2. 1 an et plus;;7,0;7,8;9,8;11,8;13,5;9,2;331;395;545;700;852;583;63;223;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;;;7,4;8,3;9,1;10,9;12,0;9,0;406;465;600;800;1019;670;75;166;1599;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;;Ensemble 4P+;5,8;7,7;8,3;9,5;11,3;8,4;584;690;800;1000;1160;872;104;53;603;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;;Ensemble 1P;;;;;;;;;;;;;;10;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;;Ensemble 2P;8,2;8,9;10,6;12,0;16,2;10,6;400;406;453;500;600;463;44;54;325;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;;Ensemble 3P;;;;;;;;;;;;;;49;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;42;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;2. Entre 1946-1970;2. 1 an et plus;;6,7;7,9;9,1;10,5;11,5;8,7;400;453;583;800;1100;660;76;124;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;;;6,8;7,8;9,2;10,6;12,3;8,7;370;443;565;700;880;608;70;512;3831;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;;Ensemble 4P+;6,1;7,0;8,0;9,0;10,7;7,9;555;630;742;910;1250;802;101;133;1327;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;;Ensemble 1P;9,6;10,1;12,2;13,9;15,5;11,8;296;330;359;400;450;366;31;115;631;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;;Ensemble 2P;7,5;8,8;9,9;11,2;12,0;9,7;324;390;435;495;562;443;45;146;950;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;;Ensemble 3P;6,8;8,2;9,2;10,0;10,8;9,0;497;530;595;680;730;610;68;118;923;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;1. Moins de 1 an;;8,1;9,2;10,0;12,0;14,2;10,1;370;450;600;800;880;636;63;140;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;3. Entre 1971-1990;2. 1 an et plus;;6,3;7,4;8,7;10,1;11,8;8,3;367;441;550;700;853;597;72;372;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;;;7,5;8,3;9,8;11,2;13,5;9,3;360;440;558;740;932;612;66;999;5465;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;;Ensemble 4P+;7,0;7,7;8,1;9,4;10,6;8,4;648;725;800;965;1202;858;102;236;1827;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;;Ensemble 1P;11,3;12,1;14,6;15,4;16,7;13,6;285;300;310;370;400;336;25;173;511;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;;Ensemble 2P;8,9;9,8;10,6;11,7;12,4;10,6;385;411;445;490;540;454;43;320;1640;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;;Ensemble 3P;7,5;8,4;9,3;10,5;11,3;9,3;500;531;580;655;700;603;65;270;1486;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;1. Moins de 1 an;;8,6;9,9;11,2;12,7;15,3;10,5;310;420;525;740;1075;602;57;259;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;4. Entre 1991-2005;2. 1 an et plus;;7,5;8,0;9,3;10,7;11,8;8,9;385;450;577;740;918;616;69;740;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;;;7,8;8,5;9,4;10,3;11,4;9,2;417;460;590;771;1000;662;72;1704;5048;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;;Ensemble 4P+;7,2;7,9;8,5;9,2;10,2;8,6;670;735;829;1007;1392;935;109;322;1703;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;;Ensemble 1P;9,9;10,1;11,0;12,7;17,0;11,8;300;318;342;390;550;371;31;96;237;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;;Ensemble 2P;9,0;9,7;10,3;11,1;12,3;10,4;391;423;448;468;510;456;44;735;1664;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;;Ensemble 3P;8,2;8,8;9,3;9,7;10,4;9,3;515;550;580;621;700;593;64;551;1445;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;1. Moins de 1 an;;8,4;9,1;9,8;10,9;12,3;9,7;426;468;600;780;1250;706;73;447;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;;5. Après 2005;2. 1 an et plus;;7,6;8,3;9,2;10,1;11,1;8,9;415;452;579;770;947;641;72;1257;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;;;6,8;7,6;8,4;9,8;11,1;8,5;576;670;770;950;1201;837;99;772;6318;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;;Maison 1-3P;7,2;8,3;9,7;11,0;12,5;9,4;452;530;608;680;713;607;65;151;1403;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;;Maison 4P+;6,5;7,5;8,2;9,3;10,6;8,3;670;727;814;1000;1250;902;108;621;4915;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;1. Moins de 1 an;;7,4;8,1;9,2;10,4;11,9;9,2;577;700;825;1150;1512;948;102;164;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;35;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;1. Moins de 1 an;Maison 4P+;7,2;8,0;9,2;10,3;11,5;9,1;700;777;970;1270;1600;1054;116;129;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;2. 1 an et plus;;6,7;7,5;8,2;9,5;11,0;8,2;576;670;754;901;1111;802;97;608;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;2. 1 an et plus;Maison 1-3P;7,0;8,2;9,6;11,0;11,6;9,2;440;539;617;680;700;606;66;116;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;;2. 1 an et plus;Maison 4P+;6,3;7,4;8,1;8,8;10,1;8,1;640;712;800;950;1185;856;106;492;;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;1. Avant 1946;;;5,4;7,0;7,4;10,4;12,8;8,2;520;587;700;770;976;747;91;75;703;Estimation directe
B5600;2022;Golfe du Morbihan - Vannes Agglomération;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;26;;Estimation directe
