rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2021-2022;LYON;001;AIN;0010039M;COLLEGE DE L ALBARINE;01384;SAINT RAMBERT EN BUGEY;public;98.5
2021-2022;LYON;001;AIN;0010084L;COLLEGE PRIVE SAINT CHARLES;01093;CHATILLON SUR CHALARONNE;privé sous contrat;114.6
2021-2022;LYON;001;AIN;0010794H;COLLEGE DU VALROMEY;01022;ARTEMARE;public;95.6
2021-2022;LYON;001;AIN;0010796K;COLLEGE EMILE CIZAIN;01262;MONTLUEL;public;115.2
2021-2022;LYON;001;AIN;0010820L;COLLEGE GEORGE SAND;01306;PONT DE VEYLE;public;104.2
2021-2022;LYON;001;AIN;0010895T;COLLEGE;01266;MONTREVEL EN BRESSE;public;109.6
2021-2022;LYON;001;AIN;0010939R;COLLEGE LEON COMAS;01443;VILLARS LES DOMBES;public;110.7
2021-2022;LYON;001;AIN;0010987T;COLLEGE JEAN ROSTAND;01014;ARBENT;public;87.4
2021-2022;LYON;001;AIN;0011071J;COLLEGE LE GRAND CEDRE;01108;COLIGNY;public;93.4
2021-2022;LYON;001;AIN;0011257L;COLLEGE DE LA DOMBES;01333;SAINT ANDRE DE CORCY;public;129.6
2021-2022;LYON;001;AIN;0011301J;COLLEGE LE JORAN;01313;PREVESSIN MOËNS;public;114.1
2021-2022;LYON;001;AIN;0011338Z;COLLEGE JEAN COMPAGNON;01322;REYRIEUX;public;121.7
2021-2022;AMIENS;002;AISNE;0020004U;COLLEGE JOSQUIN DES PRES;02057;BEAUREVOIR;public;87.5
2021-2022;AMIENS;002;AISNE;0020018J;COLLEGE LEON DROUSSENT;02217;COUCY LE CHATEAU AUFFRIQUE;public;92.2
2021-2022;AMIENS;002;AISNE;0020037E;COLLEGE SUZANNE DEUTSCH DE LA MEURTHE;02532;MOY DE L AISNE;public;107.8
2021-2022;AMIENS;002;AISNE;0020044M;COLLEGE QUENTIN DE LA TOUR;02668;SAINS RICHAUMONT;public;84.1
2021-2022;AMIENS;002;AISNE;0020054Y;COLLEGE MONTAIGNE;02691;SAINT QUENTIN;public;61.3
2021-2022;AMIENS;002;AISNE;0020075W;COLLEGE GEORGES COBAST;02381;HIRSON;public;75.4
2021-2022;AMIENS;002;AISNE;0020467X;COLLEGE PRIVE LACORDAIRE;02165;CHARMES;privé sous contrat;99.3
2021-2022;AMIENS;002;AISNE;0020470A;COLLEGE PRIVE SAINT JOSEPH;02321;FONTAINE LES VERVINS;privé sous contrat;104.4
2021-2022;AMIENS;002;AISNE;0020483P;COLLEGE PRIVE JEANNE D ARC;02361;GUISE;privé sous contrat;98.7
2021-2022;AMIENS;002;AISNE;0021491K;COLLEGE MAURICE WAJSFELNER;02245;CUFFIES;public;101.8
2021-2022;AMIENS;002;AISNE;0021492L;COLLEGE GERARD PHILIPE;02722;SOISSONS;public;60.5
2021-2022;AMIENS;002;AISNE;0021493M;COLLEGE VICTOR HUGO;02173;CHAUNY;public;88.4
2021-2022;AMIENS;002;AISNE;0021595Y;COLLEGE PIERRE SELLIER;02141;LA CAPELLE;public;86.6
2021-2022;AMIENS;002;AISNE;0021721K;COLLEGE CHARLES BRAZIER;02237;CRECY SUR SERRE;public;92.6
2021-2022;AMIENS;002;AISNE;0021778X;COLLEGE JACQUES PREVERT;02468;MARLE;public;88.2
2021-2022;AMIENS;002;AISNE;0022131F;COLLEGE PRIVE SAINT ANTOINE A BOHAIN EN VERMANDOIS;02095;BOHAIN EN VERMANDOIS;privé sous contrat;94.2
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030004N;COLLEGE ACHILLE ALLIER;03036;BOURBON L ARCHAMBAULT;public;108.2
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030009U;COLLEGE EMILE GUILLAUMIN;03084;COSNE D ALLIER;public;98.2
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030039B;COLLEGE CHARLES PEGUY;03190;MOULINS;public;109.4
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030050N;COLLEGE JULES FERRY;03310;VICHY;public;93.1
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030119N;COLLEGE JULES VERNE;03185;MONTLUCON;public;85.4
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030758H;COLLEGE JULES FERRY;03185;MONTLUCON;public;104.1
2021-2022;CLERMONT-FERRAND;003;ALLIER;0030838V;COLLEGE EMILE GUILLAUMIN;03190;MOULINS;public;86.6
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040002F;COLLEGE DU PAYS DE BANON;04018;BANON;public;106.0
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040022C;COLLEGE GASSENDI;04070;DIGNE LES BAINS;public;107.7
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040044B;COLLEGE MARIA BORRELY;04070;DIGNE LES BAINS;public;89.5
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040051J;COLLEGE DOCTEUR JEAN MARC GASPARD ITARD;04143;ORAISON;public;107.9
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040055N;COLLEGE JEAN GIONO;04112;MANOSQUE;public;84.4
2021-2022;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040524Y;COLLEGE PIERRE GIRARDOT;04197;SAINTE TULLE;public;115.6
2021-2022;NICE;006;ALPES-MARITIMES;0060019N;COLLEGE VALLEES DU PAILLON R CARLES;06048;CONTES;public;103.3
2021-2022;NICE;006;ALPES-MARITIMES;0060063L;COLLEGE JEAN FRANCO;06120;SAINT ETIENNE DE TINEE;public;120.9
2021-2022;NICE;006;ALPES-MARITIMES;0060068S;COLLEGE RENE CASSIN;06147;TOURRETTE LEVENS;public;117.9
2021-2022;NICE;006;ALPES-MARITIMES;0060072W;COLLEGE JEAN BAPTISTE RUSCA;06163;TENDE;public;97.6
2021-2022;NICE;006;ALPES-MARITIMES;0060085K;COLLEGE INTERNATIONAL JOSEPH VERNIER;06088;NICE;public;87.1
2021-2022;NICE;006;ALPES-MARITIMES;0060676C;COLLEGE PRIVE BLANCHE DE CASTILLE;06088;NICE;privé sous contrat;119.6
2021-2022;NICE;006;ALPES-MARITIMES;0060799L;COLLEGE LES MURIERS;06029;CANNES;public;85.5
2021-2022;NICE;006;ALPES-MARITIMES;0060842H;COLLEGE PIERRE BERTONE;06004;ANTIBES;public;103.3
2021-2022;NICE;006;ALPES-MARITIMES;0060911H;COLLEGE LES BREGUIERES;06027;CAGNES SUR MER;public;105.5
2021-2022;NICE;006;ALPES-MARITIMES;0061001F;COLLEGE LOUIS NUCERA;06088;NICE;public;67.3
2021-2022;NICE;006;ALPES-MARITIMES;0061003H;COLLEGE JEAN ROSTAND;06088;NICE;public;84.6
2021-2022;NICE;006;ALPES-MARITIMES;0061127T;COLLEGE PRIVE SAINT BARTHELEMY;06088;NICE;privé sous contrat;125.6
2021-2022;NICE;006;ALPES-MARITIMES;0061131X;COLLEGE MAURICE JAUBERT;06088;NICE;public;69.7
2021-2022;NICE;006;ALPES-MARITIMES;0061134A;COLLEGE JOSEPH PAGNOL;06123;SAINT LAURENT DU VAR;public;103.6
2021-2022;NICE;006;ALPES-MARITIMES;0061238N;COLLEGE ANDRE MAUROIS;06083;MENTON;public;95.9
2021-2022;NICE;006;ALPES-MARITIMES;0061280J;COLLEGE JULES VERNE;06027;CAGNES SUR MER;public;104.6
2021-2022;NICE;006;ALPES-MARITIMES;0061722P;COLLEGE PRIVEE KEREM MENAHEM;06088;NICE;privé sous contrat;110.3
2021-2022;NICE;006;ALPES-MARITIMES;0062056C;COLLEGE CESAR;06105;ROQUEFORT LES PINS;public;145.5
2021-2022;GRENOBLE;007;ARDECHE;0070010Y;COLLEGE ALBERT MERCOYROL;07076;CRUAS;public;101.0
2021-2022;GRENOBLE;007;ARDECHE;0070012A;COLLEGE VALLEE DE LA BEAUME;07110;JOYEUSE;public;105.4
2021-2022;GRENOBLE;007;ARDECHE;0070018G;COLLEGE JOSEPH DURAND;07161;MONTPEZAT SOUS BAUZON;public;104.6
2021-2022;GRENOBLE;007;ARDECHE;0070024N;COLLEGE DE LA MONTAGNE ARDECHOISE;07224;SAINT CIRGUES EN MONTAGNE;public;106.6
2021-2022;GRENOBLE;007;ARDECHE;0070080Z;COLLEGE PRIVE LE PORTALET NOTRE DAME;07132;LARGENTIERE;privé sous contrat;92.0
2021-2022;GRENOBLE;007;ARDECHE;0070864B;COLLEGE PRIVE ENSEMBLE BIENHEUREUX GABRIEL LONGUEVILLE;07319;LE TEIL;privé sous contrat;105.1
2021-2022;GRENOBLE;007;ARDECHE;0070890E;COLLEGE DOCTEUR PIERRE DELARBRE;07338;VERNOUX EN VIVARAIS;public;102.4
2021-2022;GRENOBLE;007;ARDECHE;0071245R;COLLEGE DE JASTRES;07019;AUBENAS;public;91.2
2021-2022;GRENOBLE;007;ARDECHE;0071246S;COLLEGE BERNARD DE VENTADOUR;07186;PRIVAS;public;106.7
2021-2022;REIMS;008;ARDENNES;0080017A;COLLEGE LES AURAINS;08185;FUMAY;public;93.0
2021-2022;REIMS;008;ARDENNES;0080046G;COLLEGE ELISABETH DE NASSAU;08409;SEDAN;public;93.2
2021-2022;REIMS;008;ARDENNES;0080084Y;COLLEGE PRIVE SAINT JEAN BAPTISTE DE LA SALLE;08105;CHARLEVILLE MEZIERES;privé sous contrat;118.5
2021-2022;REIMS;008;ARDENNES;0080896F;COLLEGE DU VAL DE MEUSE;08327;NOUVION SUR MEUSE;public;100.8
2021-2022;REIMS;008;ARDENNES;0080897G;COLLEGE ROBERT DE SORBON;08362;RETHEL;public;98.1
2021-2022;REIMS;008;ARDENNES;0080910W;COLLEGE TURENNE;08409;SEDAN;public;87.8
2021-2022;REIMS;008;ARDENNES;0081001V;COLLEGE JULES LEROUX;08480;VILLERS SEMEUSE;public;99.1
2021-2022;REIMS;008;ARDENNES;0081098A;COLLEGE ANDREE VIENOT;08367;ROCROI;public;92.8
2021-2022;REIMS;008;ARDENNES;0081103F;COLLEGE RAUCOURT;08354;RAUCOURT ET FLABA;public;92.8
2021-2022;TOULOUSE;009;ARIEGE;0090025D;COLLEGE JULES PALMADE;09285;SEIX;public;104.1
2021-2022;TOULOUSE;009;ARIEGE;0090056M;COLLEGE JOSEPH PAUL RAMBAUD;09225;PAMIERS;public;96.1
2021-2022;TOULOUSE;009;ARIEGE;0090478W;COLLEGE LAKANAL;09122;FOIX;public;112.9
2021-2022;REIMS;010;AUBE;0100028B;COLLEGE NICOLAS BOURBON;10401;VENDEUVRE SUR BARSE;public;93.9
2021-2022;REIMS;010;AUBE;0100038M;COLLEGE LES JACOBINS;10387;TROYES;public;68.0
2021-2022;REIMS;010;AUBE;0100664T;COLLEGE PAUL LANGEVIN;10362;SAINTE SAVINE;public;107.7
2021-2022;REIMS;010;AUBE;0100961R;COLLEGE PRIVE SAINT FRANCOIS DE SALES;10387;TROYES;privé sous contrat;126.5
2021-2022;REIMS;010;AUBE;0101031S;COLLEGE EUREKA;10297;PONT SAINTE MARIE;public;97.1
2021-2022;MONTPELLIER;011;AUDE;0110003U;COLLEGE DE L ALARIC;11068;CAPENDU;public;96.3
2021-2022;MONTPELLIER;011;AUDE;0110011C;COLLEGE BLAISE D AURIOL;11076;CASTELNAUDARY;public;104.2
2021-2022;MONTPELLIER;011;AUDE;0110675Z;COLLEGE MICHEL BOUSQUIE;11304;QUILLAN;public;83.0
2021-2022;MONTPELLIER;011;AUDE;0110686L;COLLEGE JOSEPH ANGLADE;11203;LEZIGNAN CORBIERES;public;95.5
2021-2022;MONTPELLIER;011;AUDE;0110724C;COLLEGE DES CORBIERES MARITIMES;11379;SIGEAN;public;98.2
2021-2022;MONTPELLIER;011;AUDE;0110870L;COLLEGE ANTOINE PONS;11091;CHALABRE;public;98.2
2021-2022;MONTPELLIER;011;AUDE;0110896P;COLLEGE PRIVE JEANNE D ARC;11076;CASTELNAUDARY;privé sous contrat;118.2
2021-2022;TOULOUSE;012;AVEYRON;0120020G;COLLEGE LUCIE AUBRAC;12198;RIEUPEYROUX;public;107.0
2021-2022;TOULOUSE;012;AVEYRON;0120032V;COLLEGE ALBERT CAMUS;12056;BARAQUEVILLE;public;117.6
2021-2022;TOULOUSE;012;AVEYRON;0120070L;COLLEGE PRIVE JEANNE D ARC;12199;RIGNAC;privé sous contrat;110.4
2021-2022;TOULOUSE;012;AVEYRON;0120077U;COLLEGE PRIVE DES MONTS ET LACS;12253;SALLES CURAN;privé sous contrat;98.2
2021-2022;TOULOUSE;012;AVEYRON;0120622L;COLLEGE PAUL RAMADIER;12089;DECAZEVILLE;public;92.4
2021-2022;TOULOUSE;012;AVEYRON;0121133S;COLLEGE JEAN MOULIN;12202;RODEZ;public;100.6
2021-2022;TOULOUSE;012;AVEYRON;0121257B;COLLEGE PRIVE SAINTE FOY;12089;DECAZEVILLE;privé sous contrat;98.7
2021-2022;TOULOUSE;012;AVEYRON;0121297V;COLLEGE JEAN JAURES;12208;SAINT AFFRIQUE;public;97.3
2021-2022;TOULOUSE;012;AVEYRON;0121500R;COLLEGE PRIVE SAINT VIATEUR CANAGUET;12176;ONET LE CHATEAU;privé sous contrat;111.9
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131261A;COLLEGE AUGUSTE RENOIR;13213;MARSEILLE 13E ARRONDISSEMENT;public;66.5
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131322S;COLLEGE PRIVE SAINT CHARLES;13004;ARLES;privé sous contrat;117.3
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131364M;COLLEGE PRIVE SAINTE MARIE;13005;AUBAGNE;privé sous contrat;135.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131367R;COLLEGE PRIVE SAINT LOUIS;13098;SAINT MITRE LES REMPARTS;privé sous contrat;129.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131372W;COLLEGE PRIVE SAINT JOSEPH;13215;MARSEILLE 15E ARRONDISSEMENT;privé sous contrat;86.2
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131689R;COLLEGE PRIVE SAINT VINCENT DE PAUL;13206;MARSEILLE 6E ARRONDISSEMENT;privé sous contrat;86.1
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131704G;COLLEGE ARTHUR RIMBAUD;13215;MARSEILLE 15E ARRONDISSEMENT;public;61.2
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131705H;COLLEGE FERNAND LEGER;13014;BERRE L ETANG;public;87.9
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131712R;COLLEGE ARC DE MEYRAN;13001;AIX EN PROVENCE;public;104.6
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131923V;COLLEGE MARSEILLEVEYRE;13208;MARSEILLE 8E ARRONDISSEMENT;public;127.5
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131931D;COLLEGE THIERS;13201;MARSEILLE 1ER ARRONDISSEMENT;public;96.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131932E;COLLEGE LONGCHAMP;13201;MARSEILLE 1ER ARRONDISSEMENT;public;107.3
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131935H;COLLEGE EDGAR QUINET;13203;MARSEILLE 3E ARRONDISSEMENT;public;62.4
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132311S;COLLEGE LOUIS PASTEUR;13209;MARSEILLE 9E ARRONDISSEMENT;public;90.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132312T;COLLEGE ANDRE MALRAUX;13213;MARSEILLE 13E ARRONDISSEMENT;public;111.4
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132315W;COLLEGE LES CHARTREUX;13204;MARSEILLE 4E ARRONDISSEMENT;public;89.6
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132325G;COLLEGE CAMPRA;13001;AIX EN PROVENCE;public;119.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132327J;COLLEGE MIRAMARIS;13063;MIRAMAS;public;70.9
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132494R;COLLEGE LES AMANDEIRETS;13026;CHATEAUNEUF LES MARTIGUES;public;95.4
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132565T;COLLEGE JACQUES MONOD;13071;LES PENNES MIRABEAU;public;110.6
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132833J;COLLEGE GEORGES BRASSENS;13015;BOUC BEL AIR;public;131.7
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132915Y;COLLEGE PRIVE LA NATIVITE;13001;AIX EN PROVENCE;privé sous contrat;145.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133114P;COLLEGE ROGER CARCASSONNE;13069;PELISSANNE;public;123.5
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133203L;COLLEGE LOUIS PASTEUR;13047;ISTRES;public;101.7
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133451F;COLLEGE JEAN ZAY;13087;ROUSSET;public;124.5
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133544G;COLLEGE PRIVE ORT LEON BRAMSON;13210;MARSEILLE 10E ARRONDISSEMENT;privé sous contrat;104.7
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133621R;COLLEGE FRANCOISE DOLTO;13089;SAINT ANDIOL;public;108.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133665N;COLLEGE OLYMPE DE GOUGES;13075;PLAN DE CUQUES;public;116.8
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133788X;COLLEGE JEAN CLAUDE IZZO;13202;MARSEILLE 2E ARRONDISSEMENT;public;68.0
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133789Y;COLLEGE FRANCOIS MITTERRAND;13107;SIMIANE COLLONGUE;public;125.1
2021-2022;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133881Y;COLLEGE GERMAINE TILLION;13212;MARSEILLE 12E ARRONDISSEMENT;public;91.9
2021-2022;NORMANDIE;014;CALVADOS;0140008H;COLLEGE VAL DE SOULEUVRE;14061;SOULEUVRE EN BOCAGE;public;93.8
2021-2022;NORMANDIE;014;CALVADOS;0140068Y;COLLEGE GUY DE MAUPASSANT;14623;SAINT MARTIN DE FONTENAY;public;111.4
2021-2022;NORMANDIE;014;CALVADOS;0140087U;COLLEGE JACQUES PREVERT;14738;VERSON;public;122.3
2021-2022;NORMANDIE;014;CALVADOS;0141228J;COLLEGE PRIVE NOTRE DAME;14689;LE HOM;privé sous contrat;105.5
2021-2022;NORMANDIE;014;CALVADOS;0141256P;COLLEGE GISELE GUILLEMOT;14437;MONDEVILLE;public;96.0
2021-2022;NORMANDIE;014;CALVADOS;0141597K;COLLEGE FERNAND LECHANTEUR;14118;CAEN;public;97.8
2021-2022;NORMANDIE;014;CALVADOS;0141764S;COLLEGE DES DOUITS;14258;FALAISE;public;102.4
2021-2022;NORMANDIE;014;CALVADOS;0141860W;COLLEGE PRIVE INSTITUTION JEANNE D ARC;14047;BAYEUX;privé sous contrat;104.7
2021-2022;NORMANDIE;014;CALVADOS;0141862Y;COLLEGE PRIVE NOTRE DAME;14366;LISIEUX;privé sous contrat;109.7
2021-2022;NORMANDIE;014;CALVADOS;0141940H;COLLEGE LANGEVIN WALLON;14076;BLAINVILLE SUR ORNE;public;101.1
2021-2022;NORMANDIE;014;CALVADOS;0142145F;COLLEGE LE VAL DE VIRE;14762;VIRE NORMANDIE;public;87.8
2021-2022;CLERMONT-FERRAND;015;CANTAL;0150001V;COLLEGE MAURICE PESCHAUD;15001;ALLANCHE;public;109.9
2021-2022;CLERMONT-FERRAND;015;CANTAL;0150024V;COLLEGE DES GORGES DE LA TRUYERE;15152;PIERREFORT;public;109.9
2021-2022;CLERMONT-FERRAND;015;CANTAL;0150025W;COLLEGE RAYMOND CORTAT;15153;PLEAUX;public;101.8
2021-2022;POITIERS;016;CHARENTE;0160027T;COLLEGE JEAN LARTAUT;16167;JARNAC;public;95.4
2021-2022;POITIERS;016;CHARENTE;0160034A;COLLEGE CLAUDIE HAIGNERE;16286;ROUILLAC;public;98.7
2021-2022;POITIERS;016;CHARENTE;0160040G;COLLEGE EUGENE DELACROIX;16295;SAINT AMANT DE BOIXE;public;102.9
2021-2022;POITIERS;016;CHARENTE;0160061E;COLLEGE PRIVE SAINTE MARTHE CHAVAGNES;16015;ANGOULEME;privé sous contrat;120.7
2021-2022;POITIERS;016;CHARENTE;0160075V;COLLEGE PRIVE SAINT PIERRE;16167;JARNAC;privé sous contrat;104.3
2021-2022;POITIERS;016;CHARENTE;0160116P;COLLEGE ELISEE MOUSNIER;16102;COGNAC;public;111.3
2021-2022;POITIERS;016;CHARENTE;0160867F;COLLEGE JEAN ROSTAND;16281;LA ROCHEFOUCAULD EN ANGOUMOIS;public;102.5
2021-2022;POITIERS;016;CHARENTE;0161106R;COLLEGE ANATOLE FRANCE;16015;ANGOULEME;public;105.4
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170002K;COLLEGE ARLETTE GUIRADO;17016;ARCHIAC;public;106.1
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170009T;COLLEGE JULES FERRY;17172;GEMOZAC;public;98.6
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170035W;COLLEGE BEAUREGARD;17300;LA ROCHELLE;public;112.6
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170047J;COLLEGE JEAN MONNET;17308;SAINT AGNANT;public;111.4
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170099R;COLLEGE PRIVE FENELON NOTRE DAME;17300;LA ROCHELLE;privé sous contrat;121.7
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170102U;COLLEGE PRIVE JEANNE D ARC;17415;SAINTES;privé sous contrat;121.8
2021-2022;POITIERS;017;CHARENTE-MARITIME;0170387D;COLLEGE ANDRE ALBERT;17421;SAUJON;public;103.2
2021-2022;POITIERS;017;CHARENTE-MARITIME;0171117X;COLLEGE FABRE D EGLANTINE;17300;LA ROCHELLE;public;103.7
2021-2022;POITIERS;017;CHARENTE-MARITIME;0171118Y;COLLEGE GEORGES TEXIER;17347;SAINT JEAN D ANGELY;public;93.6
2021-2022;ORLEANS-TOURS;018;CHER;0180002E;COLLEGE GERARD PHILIPE;18015;AUBIGNY SUR NERE;public;94.7
2021-2022;ORLEANS-TOURS;018;CHER;0180019Y;COLLEGE BETHUNE SULLY;18109;HENRICHEMONT;public;110.1
2021-2022;ORLEANS-TOURS;018;CHER;0180033N;COLLEGE MARGUERITE AUDOUX;18242;SANCOINS;public;88.1
2021-2022;ORLEANS-TOURS;018;CHER;0180037T;COLLEGE EDOUARD VAILLANT;18279;VIERZON;public;75.1
2021-2022;ORLEANS-TOURS;018;CHER;0180646E;COLLEGE JEAN VALETTE;18197;SAINT AMAND MONTROND;public;95.3
2021-2022;ORLEANS-TOURS;018;CHER;0180721L;COLLEGE EMILE LITTRE;18033;BOURGES;public;112.7
2021-2022;ORLEANS-TOURS;018;CHER;0180736C;COLLEGE LE COLOMBIER;18087;DUN SUR AURON;public;101.8
2021-2022;LIMOGES;019;CORREZE;0190001Y;COLLEGE;19005;ALLASSAC;public;105.6
2021-2022;LIMOGES;019;CORREZE;0190002Z;COLLEGE SIMONE VEIL;19010;ARGENTAT SUR DORDOGNE;public;95.1
2021-2022;LIMOGES;019;CORREZE;0190014M;COLLEGE JEAN LURCAT;19031;BRIVE LA GAILLARDE;public;100.6
2021-2022;LIMOGES;019;CORREZE;0190030E;COLLEGE;19255;SEILHAC;public;112.2
2021-2022;LIMOGES;019;CORREZE;0190613N;COLLEGE VICTOR HUGO;19272;TULLE;public;98.7
2021-2022;LIMOGES;019;CORREZE;0190614P;COLLEGE GEORGES CLEMENCEAU;19272;TULLE;public;110.1
2021-2022;LIMOGES;019;CORREZE;0190717B;COLLEGE EUGENE FREYSSINET;19153;OBJAT;public;103.5
2021-2022;LIMOGES;019;CORREZE;0190740B;COLLEGE D ARSONVAL;19031;BRIVE LA GAILLARDE;public;105.4
2021-2022;LIMOGES;019;CORREZE;0190780V;COLLEGE PRIVE BOSSUET;19031;BRIVE LA GAILLARDE;privé sous contrat;112.8
2021-2022;DIJON;021;COTE D'OR;0210001M;COLLEGE CLAUDE GUYOT;21023;ARNAY LE DUC;public;101.7
2021-2022;DIJON;021;COTE D'OR;0210025N;COLLEGE HENRI DUNANT;21231;DIJON;public;89.7
2021-2022;DIJON;021;COTE D'OR;0210043H;COLLEGE HENRI MORAT;21519;RECEY SUR OURCE;public;99.0
2021-2022;DIJON;021;COTE D'OR;0210057Y;COLLEGE ROLAND DORGELES;21355;LONGVIC;public;106.2
2021-2022;DIJON;021;COTE D'OR;0211136W;COLLEGE GASTON ROUPNEL;21231;DIJON;public;107.2
2021-2022;DIJON;021;COTE D'OR;0211229X;COLLEGE MONGE;21054;BEAUNE;public;110.0
2021-2022;DIJON;021;COTE D'OR;0211357L;COLLEGE JEAN PHILIPPE RAMEAU;21231;DIJON;public;83.6
2021-2022;DIJON;021;COTE D'OR;0211526V;COLLEGE MONTCHAPET;21231;DIJON;public;120.8
2021-2022;DIJON;021;COTE D'OR;0211756V;COLLEGE GEORGES BRASSENS;21103;BRAZEY EN PLAINE;public;108.4
2021-2022;DIJON;021;COTE D'OR;0212119P;COLLEGE ANDRE MALRAUX;21231;DIJON;public;124.9
2021-2022;RENNES;022;COTES D'ARMOR;0220009R;COLLEGE PIER AN DALL;22047;CORLAY;public;85.0
2021-2022;RENNES;022;COTES D'ARMOR;0220029M;COLLEGE PAUL SEBILLOT;22143;MATIGNON;public;95.5
2021-2022;RENNES;022;COTES D'ARMOR;0220040Z;COLLEGE LOUIS DE CHAPPEDELAINE;22185;PLENEE JUGON;public;101.5
2021-2022;RENNES;022;COTES D'ARMOR;0220061X;COLLEGE JEAN JAURES;22321;SAINT NICOLAS DU PELEM;public;87.1
2021-2022;RENNES;022;COTES D'ARMOR;0220082V;COLLEGE CHARLES LE GOFFIC;22113;LANNION;public;120.1
2021-2022;RENNES;022;COTES D'ARMOR;0220098M;COLLEGE PRIVE NOTRE DAME;22070;GUINGAMP;privé sous contrat;110.3
2021-2022;RENNES;022;COTES D'ARMOR;0220140H;COLLEGE PRIVE SAINTE ANNE SAINT JOACHIM;22056;EVRAN;privé sous contrat;92.7
2021-2022;RENNES;022;COTES D'ARMOR;0220149T;COLLEGE PRIVE SAINT NICOLAS;22147;MERDRIGNAC;privé sous contrat;91.6
2021-2022;RENNES;022;COTES D'ARMOR;0220151V;COLLEGE PRIVE SAINT JOSEPH;22162;PAIMPOL;privé sous contrat;104.5
2021-2022;RENNES;022;COTES D'ARMOR;0220162G;COLLEGE PRIVE SAINT JOSEPH;22219;PLOUGUENAST LANGAST;privé sous contrat;83.2
2021-2022;RENNES;022;COTES D'ARMOR;0220166L;COLLEGE PRIVE NOTRE DAME DES FONTAINES;22250;PONTRIEUX;privé sous contrat;91.4
2021-2022;RENNES;022;COTES D'ARMOR;0221028Y;COLLEGE LE VOLOZEN;22262;QUINTIN;public;101.0
2021-2022;RENNES;022;COTES D'ARMOR;0221518F;COLLEGE FRANCOIS CLECH;22004;BEGARD;public;104.3
