code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87394494;Courtalain-St-Pellerin;O;O;500000;1;140+946;SAINT-PELLERIN;EURE-ET-LOIR;3851;d9e7c8fe-6667-11e3-89ff-01f464e0362d;560506.7410999984;6776453.157299999;1.126829727299309;48.07356453513559;48.07356453513559,1.1268297272993089;48.07356453417179,1.126829727299307;"{""coordinates"": [1.126829727299307, 48.07356453417179], ""type"": ""Point""}"
87611079;Cazères-sur-Garonne;O;O;650000;1;055+813;CAZÈRES;HAUTE-GARONNE;3521;c0dd0a20-f312-11e3-90ff-015864e0362d;544061.1837000027;6236725.400199998;1.082082945305665;43.2126944588755;43.2126944588755,1.082082945305665;43.212694457909805,1.0820829453056637;"{""coordinates"": [1.082082945305664, 43.212694457909805], ""type"": ""Point""}"
87582668;Arcachon;N;O;657000;1;057+972;ARCACHON;GIRONDE;2915;e04241d6-19bf-11e5-82ff-01fc64e0362d;369930.2805000022;6404233.840100002;-1.165311959015783;44.65884069382592;44.65884069382592,-1.165311959015783;44.6588406928622,-1.1653119590157848;"{""coordinates"": [-1.165311959015785, 44.6588406928622], ""type"": ""Point""}"
87712521;Chemin-Peseux;O;N;868000;1;359+327;PESEUX;JURA;9258;e54dda6e-6667-11e3-a7ff-01f464e0362d;878135.8187000006;6657593.272500001;5.344425867939907;46.99475783909085;46.99475783909085,5.344425867939907;46.99475783813619,5.344425867939907;"{""coordinates"": [5.344425867939907, 46.99475783813619], ""type"": ""Point""}"
87671123;Lannemezan;O;O;650000;1;120+454;LANNEMEZAN;HAUTES-PYRENEES;4861;d9a90dd2-6667-11e3-89ff-01f464e0362d;487249.0573000014;6227398.052200001;0.38757770580269;43.11417438912809;43.11417438912809,0.3875777058026896;43.114174388162375,0.3875777058026875;"{""coordinates"": [0.387577705802688, 43.114174388162375], ""type"": ""Point""}"
87141200;Einvaux;N;O;042000;1;007+482;EINVAUX;MEURTHE-ET-MOSELLE;4032;29592490-dfbc-11e3-a2ff-01a464e0362d;950576.076700002;6827957.182300001;6.393118791209494;48.50340331783305;48.50340331783305,6.393118791209494;48.503403316873154,6.393118791209495;"{""coordinates"": [6.393118791209495, 48.503403316873154], ""type"": ""Point""}"
87396556;Laigné-St-Gervais;N;O;561000;1;319+332;SAINT-GERVAIS-EN-BELIN;SARTHE;4819;e1296792-19bf-11e5-a6ff-01fc64e0362d;492003.69690000266;6756298.033399999;0.21711697606233;47.874086302889985;47.874086302889985,0.2171169760623304;47.8740863019244,0.21711697606232835;"{""coordinates"": [0.217116976062328, 47.8740863019244], ""type"": ""Point""}"
87212175;Wilwisheim;N;O;070000;1;469+674;WILWISHEIM;BAS-RHIN;7357;2946adf8-dfbc-11e3-a2ff-01a464e0362d;1031265.8896000013;6858990.7951;7.5076520421221;48.745911662028554;48.745911662028554,7.5076520421221;48.74591166107094,7.507652042122101;"{""coordinates"": [7.507652042122101, 48.74591166107094], ""type"": ""Point""}"
87471185;Messac-Guipry;N;O;468000;1;410+279;MESSAC;ILLE-ET-VILAINE;5469;d9c6408a-6667-11e3-89ff-01f464e0362d;339653.2127000019;6757878.016899999;-1.818552894324703;47.82231315304846;47.82231315304846,-1.8185528943247031;47.822313152082444,-1.8185528943247071;"{""coordinates"": [-1.818552894324707, 47.822313152082444], ""type"": ""Point""}"
87381202;Lavilletertre;N;O;330000;2;052+424;LAVILLETERTRE;OISE;4786;d9a97fe8-6667-11e3-89ff-01f464e0362d;621338.4466999993;6900858.728599999;1.920731577030679;49.20261024930564;49.20261024930564,1.9207315770306794;49.20261024835243,1.9207315770306785;"{""coordinates"": [1.920731577030679, 49.20261024835243], ""type"": ""Point""}"
87213165;Obermodern;N;O;160000;1;018+605;OBERMODERN-ZUTZENDORF;BAS-RHIN;5842;29bbc258-dfbc-11e3-a2ff-01a464e0362d;1033538.2609999999;6869879.3237;7.547027621205904;48.84250786767418;48.84250786767418,7.547027621205904;48.84250786671748,7.547027621205907;"{""coordinates"": [7.547027621205907, 48.84250786671748], ""type"": ""Point""}"
87574533;Fréteval-Morée;N;O;550000;1;159+228;FRÉTEVAL;LOIR-ET-CHER;4236;d9cde830-6667-11e3-89ff-01f464e0362d;566361.8849999979;6756127.3024;1.211608068881622;47.891918788893165;47.891918788893165,1.211608068881622;47.891918787927764,1.21160806888162;"{""coordinates"": [1.21160806888162, 47.891918787927764], ""type"": ""Point""}"
87543439;St-Denis-Jargeau;O;N;687000;1;139+523;SAINT-DENIS-DE-L'HÔTEL;LOIRET;6423;e015fcb8-19bf-11e5-82ff-01fc64e0362d;634910.3302000016;6752968.274500001;2.129299883800866;47.873879048738836;47.873879048738836,2.129299883800866;47.87387904777326,2.129299883800865;"{""coordinates"": [2.129299883800865, 47.87387904777326], ""type"": ""Point""}"
87345447;Aubigny-au-Bac;N;O;259000;2;208+816;AUBIGNY-AU-BAC;NORD;2974;29979b04-dfbc-11e3-a2ff-01a464e0362d;711298.9795000032;7018961.626600001;3.158284448868986;50.268474966278646;50.268474966278646,3.158284448868986;50.26847496533629,3.1582844488689847;"{""coordinates"": [3.158284448868985, 50.26847496533629], ""type"": ""Point""}"
87313734;Grandvilliers;O;O;325000;1;111+818;GRANDVILLIERS;OISE;4352;c05689ca-f312-11e3-90ff-015864e0362d;623332.8990999982;6951642.824999999;1.938728682479368;49.659261837963996;49.659261837963996,1.9387286824793684;49.65926183701533,1.938728682479367;"{""coordinates"": [1.938728682479367, 49.65926183701533], ""type"": ""Point""}"
87281055;Croix-l'Allumette;N;O;278000;1;008+530;CROIX;NORD;3891;29ec3f6a-dfbc-11e3-a2ff-01a464e0362d;710751.1231999993;7065615.789299998;3.151866679185366;50.68726440720281;50.68726440720281,3.1518666791853662;50.68726440626496,3.1518666791853662;"{""coordinates"": [3.151866679185366, 50.68726440626496], ""type"": ""Point""}"
87473272;Plancoët;N;O;415000;1;183+131;PLANCOËT;COTES-D'ARMOR;6015;2902d5c2-dfbc-11e3-a2ff-01a464e0362d;314157.3545999974;6837356.807700001;-2.228808444008036;48.52143574734171;48.52143574734171,-2.228808444008036;48.52143574638199,-2.2288084440080405;"{""coordinates"": [-2.22880844400804, 48.52143574638199], ""type"": ""Point""}"
87276139;Pontoise;N;O;330000;1;029+400;PONTOISE;VAL-D'OISE;6110;e1c2ad9c-19bf-11e5-a6ff-01fc64e0362d;633883.6431000009;6883361.781399999;2.095589737532254;49.046725436640024;49.046725436640024,2.0955897375322543;49.046725435685296,2.095589737532253;"{""coordinates"": [2.095589737532253, 49.046725435685296], ""type"": ""Point""}"
87478743;Le Genest;N;O;420000;1;309+982;LE GENEST-SAINT-ISLE;MAYENNE;4937;29cea28e-dfbc-11e3-a2ff-01a464e0362d;410864.83410000056;6784493.233600002;-0.885527898913739;48.09677637508564;48.09677637508564,-0.8855278989137388;48.096776374122065,-0.8855278989137425;"{""coordinates"": [-0.885527898913743, 48.096776374122065], ""type"": ""Point""}"
87722314;Loire;O;N;800000;1;535+661;LOIRE-SUR-RHÔNE;RHONE;9328;e54f5e04-6667-11e3-a7ff-01f464e0362d;840776.8906000033;6497668.520100001;4.804848432118338;45.5640355474837;45.5640355474837,4.804848432118338;45.56403554652266,4.804848432118337;"{""coordinates"": [4.804848432118337, 45.56403554652266], ""type"": ""Point""}"
87673269;St-Geours;N;O;655000;1;166+270;SAINT-GEOURS-DE-MAREMNE;LANDES;6474;e1b50928-19bf-11e5-a6ff-01fc64e0362d;358042.31909999996;6294989.833999999;-1.241071350268976;43.67127697552571;43.67127697552571,-1.2410713502689759;43.67127697456033,-1.2410713502689779;"{""coordinates"": [-1.241071350268978, 43.67127697456033], ""type"": ""Point""}"
87694646;Ciry-le-Noble;O;O;769000;1;085+624;CIRY-LE-NOBLE;SAONE-ET-LOIRE;3725;d9e5a578-6667-11e3-89ff-01f464e0362d;799472.132600002;6612375.5999;4.299610871448938;46.604063976569954;46.604063976569954,4.299610871448938;46.604063975613286,4.299610871448938;"{""coordinates"": [4.299610871448938, 46.604063975613286], ""type"": ""Point""}"
87393074;Issy;N;O;977000;1;006+886;ISSY-LES-MOULINEAUX;HAUTS-DE-SEINE;4503;2943a4e6-dfbc-11e3-a2ff-01a464e0362d;645628.384300001;6858021.6807;2.259486994204301;48.81996502716657;48.81996502716657,2.2594869942043005;48.81996502620965,2.259486994204299;"{""coordinates"": [2.259486994204299, 48.81996502620965], ""type"": ""Point""}"
87756304;Villeneuve-Loubet-Plage;N;O;930000;1;209+235;VILLENEUVE-LOUBET;ALPES-MARITIMES;7251;e19e38b8-19bf-11e5-a6ff-01fc64e0362d;1033601.1736999974;6289907.7707;7.134325945371284;43.62959895644294;43.62959895644294,7.134325945371284;43.629598955477526,7.134325945371286;"{""coordinates"": [7.134325945371286, 43.629598955477526], ""type"": ""Point""}"
87144147;Bains-les-Bains;N;O;042000;1;080+173;LE CLERJUS;VOSGES;3067;c02deff6-f312-11e3-90ff-015864e0362d;945772.6574999988;6769666.139400002;6.29523047259959;47.981222903892736;47.981222903892736,6.29523047259959;47.981222902928124,6.295230472599591;"{""coordinates"": [6.295230472599591, 47.981222902928124], ""type"": ""Point""}"
87141648;Diarville;N;O;040000;1;043+027;DIARVILLE;MEURTHE-ET-MOSELLE;3943;d94b164e-6667-11e3-89ff-01f464e0362d;931348.3188999966;6815417.636;6.126315067209317;48.397829059648124;48.397829059648124,6.126315067209317;48.39782905868725,6.126315067209318;"{""coordinates"": [6.126315067209318, 48.39782905868725], ""type"": ""Point""}"
87571406;Montbazon;N;O;594000;1;252+287;MONTBAZON;INDRE-ET-LOIRE;5583;d9cef8f2-6667-11e3-89ff-01f464e0362d;527820.8557000011;6690417.208700001;0.721463142318136;47.2917127564174;47.2917127564174,0.7214631423181357;47.29171275544684,0.7214631423181336;"{""coordinates"": [0.721463142318134, 47.29171275544684], ""type"": ""Point""}"
87757591;Mandelieu-la-Napoule;N;O;930000;1;185+503;MANDELIEU-LA-NAPOULE;ALPES-MARITIMES;5336;e0271ab0-19bf-11e5-82ff-01fc64e0362d;1018641.3103;6277386.6644;6.94150442861314;43.52396771275616;43.52396771275616,6.94150442861314;43.523967711790654,6.9415044286131415;"{""coordinates"": [6.941504428613142, 43.523967711790654], ""type"": ""Point""}"
87313262;Gannes;N;O;272000;1;087+380;GANNES;OISE;4261;d9d64ae8-6667-11e3-89ff-01f464e0362d;659244.4069000036;6941619.181899998;2.436802303542406;49.57251080954575;49.57251080954575,2.436802303542406;49.57251080859621,2.436802303542405;"{""coordinates"": [2.436802303542405, 49.57251080859621], ""type"": ""Point""}"
87444208;Mézidon;O;O;430000;1;142+485;MÉZIDON-CANON;CALVADOS;5504;293fc75e-dfbc-11e3-a2ff-01a464e0362d;475400.61400000006;6890021.0363;-0.074439183829277;49.07068696758813;49.07068696758813,-0.07443918382927721;49.07068696663363,-0.07443918382927997;"{""coordinates"": [-0.07443918382928, 49.07068696663363], ""type"": ""Point""}"
